location,county_zone,state,date,time,timezone,type,deaths,injuries,property_damage_dollars,crop_damage_dollars
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-11-19,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1996-11-19,12:00:00 AM,PST,Heavy Snow,1,0,0.00K,0.00K
MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-11-24,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-11-27,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,1996-12-02,3:00:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
EAST YAKIMA/EAST KLICKIT...,EAST YAKIMA/EAST KLICKIT...,WA,1996-12-04,9:00:00 AM,PST,Heavy Snow,0,3,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-27,3:00:00 PM,PST,Heavy Snow,0,1,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,30.000M,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-28,9:45:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO…,WA,1996-12-29,3:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-12-29,3:00:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-29,4:30:00 PM,PST,Heavy Snow,0,0,0.00K,0.00K
KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-30,6:30:00 AM,PST,Heavy Snow,0,0,0.00K,0.00K
LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-01-01,12:00:00 AM,PST,Flood,0,0,0.00K,0.00K
BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1997-01-01,12:00:00 AM,PST,Flood,0,0,0.00K,0.00K
MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1997-01-02,1:00:00 AM,PST,Flood,0,0,0.00K,0.00K
