"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","April 21","May 28","June 8"
"2 yr in 10 later than","April 16","May 20","June 2"
"5 yr in 10 later than","April 7","May 5","May 20"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 6","September 24","September 11"
"2 yr in 10 earlier than","October 11","September 28","September 16"
"5 yr in 10 earlier than","October 20","October 7","September 24"
