"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","May 4","May 17","May 27"
"2 yr in 10 later than","April 25","May 11","May 22"
"5 yr in 10 later than","April 7","April 29","May 12"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 8","September 27","September 13"
"2 yr in 10 earlier than","October 14","October 2","September 18"
"5 yr in 10 earlier than","October 26","October 11","September 28"
