"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","April 10","May 1","May 21"
"2 yr in 10 later than","March 30","April 22","May 13"
"5 yr in 10 later than","March 10","April 5","April 28"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 10","October 2","September 23"
"2 yr in 10 earlier than","October 19","October 10","September 30"
"5 yr in 10 earlier than","November 4","October 24","October 13"
