"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","March 31","April 23","May 15"
"2 yr in 10 later than","March 17","April 13","May 9"
"5 yr in 10 later than","February 18","March 23","April 27"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 29","October 26","October 11"
"2 yr in 10 earlier than","November 13","November 3","October 17"
"5 yr in 10 earlier than","December 13","November 20","October 28"
