"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","March 9","April 15","May 17"
"2 yr in 10 later than","February 23","April 4","May 10"
"5 yr in 10 later than","January 30","March 15","April 28"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","November 13","October 22","October 9"
"2 yr in 10 earlier than","November 25","November 1","October 15"
"5 yr in 10 earlier than","December 19","November 21","October 26"
