"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","Insufficient data","May 13","May 23"
"2 yr in 10 later than","Insufficient data","May 7","May 18"
"5 yr in 10 later than","Insufficient data","April 24","May 7"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 9","October 1","September 19"
"2 yr in 10 earlier than","October 14","October 6","September 24"
"5 yr in 10 earlier than","October 25","October 14","October 3"
