"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","May 1","May 18","June 15"
"2 yr in 10 later than","April 24","May 13","June 7"
"5 yr in 10 later than","April 11","May 3","May 23"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","September 25","September 14","August 31"
"2 yr in 10 earlier than","October 1","September 20","September 5"
"5 yr in 10 earlier than","October 12","October 2","September 14"
