"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","Insufficient data","April 28","May 23"
"2 yr in 10 later than","Insufficient data","April 20","May 14"
"5 yr in 10 later than","Insufficient data","April 5","April 28"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 22","October 15","October 5"
"2 yr in 10 earlier than","October 30","October 21","October 9"
"5 yr in 10 earlier than","November 14","October 31","October 18"
