"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","April 27","May 14","May 28"
"2 yr in 10 later than","April 21","May 10","May 23"
"5 yr in 10 later than","April 8","May 2","May 14"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","Insufficient data","Insufficient data","September 6"
"2 yr in 10 earlier than","Insufficient data","Insufficient data","September 11"
"5 yr in 10 earlier than","Insufficient data","Insufficient data","September 22"
