Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1991,44,56,68,74,73,77,92,93,87,80,51,46,93,Ferry
1992,44,51,71,77,86,94,94,96,84,84,53,37,96,Ferry
1993,37,44,56,64,90,86,83,86,86,78,51,41,90,Ferry
1994,45,42,72,M,81,88,103,98,88,71,43,47,M,Ferry
1995,43,55,66,70,85,M,91,91,91,66,53,44,M,Ferry
1996,41,53,68,76,76,83,96,97,86,71,51,39,M,Ferry
1997,41,50,58,62,84,85,89,97,86,66,55,44,M,Ferry
1998,45,45,64,80,83,85,97,98,94,73,50,42,M,Ferry
1999,43,45,68,77,87,89,94,95,85,69,56,45,M,Ferry
2000,41,46,62,74,76,88,97,97,85,70,47,36,M,Ferry
2001,40,47,62,77,90,88,98,98,88,71,56,40,M,Ferry
2002,45,50,59,71,76,95,98,92,89,70,49,45,M,Ferry
2003,45,46,61,72,84,90,99,98,95,82,50,41,M,Ferry
2004,42,47,69,77,78,95,97,97,78,73,49,46,97,Ferry
2005,45,56,64,81,87,90,94,94,84,64,45,42,94,Ferry
2006,44,46,58,76,92,95,102,94,95,70,57,M,M,Ferry
2007,M,53,63,M,M,91,98,94,86,70,50,M,M,Ferry
2008,M,53,52,71,88,100,95,102,92,86,51,40,M,Ferry
2009,42,41,54,80,89,87,96,99,96,62,48,38,M,Ferry
2010,43,52,60,78,79,82,96,94,83,80,56,38,M,Ferry
2011,48,47,60,63,77,85,90,96,95,73,50,44,96,Ferry
2012,44,43,58,81,87,81,97,97,88,73,59,46,97,Ferry
2013,40,45,70,78,88,90,98,92,92,70,53,36,98,Ferry
2014,53,50,57,75,81,86,100,97,88,80,55,48,100,Ferry
2015,39,50,69,77,88,104,99,M,88,81,54,47,M,Ferry
2016,40,55,70,85,84,95,96,M,84,74,61,M,M,Ferry
2017,M,47,53,62,86,91,M,100,95,71,53,M,M,Ferry
2018,M,M,58,M,84,85,M,103,87,M,58,43,M,Ferry
2019,M,43,69,69,M,89,94,98,M,63,M,45,M,Ferry
2020,M,49,60,M,M,88,94,100,93,82,M,43,M,Ferry
2021,M,47,59,76,M,M,M,97,M,M,59,61,M,Ferry
2022,44,52,67,M,71,92,100,100,M,M,M,M,M,Ferry
