Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1983,56,50,59,73,93,89,89,97,84,72,61,38,97,Chelan
1984,54,51,63,69,82,92,97,95,87,74,55,35,97,Chelan
1985,36,50,M,77,M,98,106,95,84,71,M,36,M,Chelan
1986,50,59,68,75,92,95,96,98,88,73,59,40,M,Chelan
1987,45,47,63,80,89,98,98,100,97,77,63,49,M,Chelan
1988,44,61,64,80,86,92,100,96,89,78,58,51,M,Chelan
1989,62,49,57,74,81,92,94,96,87,77,72,45,M,Chelan
1990,51,59,68,76,85,89,97,99,89,74,66,48,M,Chelan
1991,52,55,66,78,76,85,96,96,88,77,54,50,96,Chelan
1992,51,51,64,73,91,97,96,96,82,75,56,48,97,Chelan
1993,44,45,59,69,91,86,89,93,91,80,60,45,93,Chelan
1994,48,49,72,75,87,91,102,96,86,75,48,49,102,Chelan
1995,39,56,63,73,89,90,97,92,89,66,60,55,97,Chelan
1996,48,55,64,72,83,87,99,101,87,76,M,M,M,Chelan
1997,44,51,59,65,87,85,94,95,88,70,59,48,95,Chelan
1998,42,52,61,77,87,84,100,105,94,79,59,57,105,Chelan
1999,50,54,64,80,85,M,M,94,88,73,56,58,M,Chelan
2000,46,51,60,76,79,91,99,99,84,73,54,41,99,Chelan
2001,49,46,60,81,95,90,M,102,93,76,55,49,M,Chelan
2002,52,55,64,71,81,96,97,96,88,76,56,50,M,Chelan
2003,51,53,70,69,83,94,105,101,97,88,59,45,105,Chelan
2004,50,50,66,78,81,96,101,100,94,77,55,52,101,Chelan
2005,44,55,66,86,88,90,99,99,89,73,54,M,M,Chelan
2006,51,51,61,76,98,96,103,97,88,78,54,47,103,Chelan
2007,55,52,67,74,84,91,101,97,90,69,63,54,101,Chelan
2008,45,51,59,70,85,94,95,M,M,74,M,M,M,Chelan
2009,48,51,58,M,92,89,101,M,M,68,60,41,M,Chelan
2010,44,54,62,74,81,84,96,97,81,76,60,43,97,Chelan
2011,56,56,56,65,77,85,90,93,91,71,55,52,93,Chelan
2012,50,53,M,M,82,M,95,99,85,78,67,M,M,Chelan
2013,44,51,67,75,92,85,100,M,M,69,M,M,M,Chelan
2014,M,52,60,77,85,83,103,99,88,83,60,48,M,Chelan
2015,50,56,68,78,86,110,105,M,94,80,61,50,M,Chelan
2016,41,58,70,84,89,99,99,101,86,74,64,51,101,Chelan
2017,37,45,60,67,90,95,101,105,95,72,58,38,105,Chelan
2018,46,61,64,81,89,90,101,100,89,70,66,52,M,Chelan
2019,46,37,66,74,89,92,97,103,91,71,56,M,M,Chelan
2020,54,56,65,76,90,93,101,M,92,82,57,54,M,Chelan
2021,49,55,62,82,89,111,109,106,M,75,M,M,M,Chelan
2022,41,53,70,68,78,92,103,101,97,M,M,M,M,Chelan
