Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1982,7.98,7.25,3.95,2,0.69,1.11,0.72,0.59,1.84,4.18,5.2,6.25,41.76,King
1983,7.07,4.76,4.4,1.51,M,2.45,3.53,2.33,2.24,1.17,8.76,5.56,M,King
1984,4.21,4.51,4.4,3.06,4.27,3.93,0,0.12,1.13,3.12,8.64,5.57,42.96,King
1985,0.83,2.66,3.35,1.32,1.24,2.33,0.05,0.86,2.11,M,4.6,2.34,M,King
1986,7.54,4.34,2.69,1.79,1.97,0.69,0.87,0.05,1.8,4.01,8.19,3.33,37.27,King
1987,5.43,3.13,5.55,3.1,2.68,0.16,0.52,0.36,1.27,0.31,2.76,6.93,32.2,King
1988,4.24,1.13,5.1,3.98,M,1.64,0.59,0.36,1.88,M,9.04,3.53,M,King
1989,3.29,3.16,5.21,2.79,2.63,1.4,M,M,M,3.08,5.51,5.04,M,King
1990,8.35,M,3.05,2.32,2.21,3.79,0.59,M,0.1,6.9,M,3.2,M,King
1991,4.49,5.33,5.67,6.82,1.63,1.37,0.29,1.97,0.01,1.76,5.38,3.02,37.74,King
1992,7.04,2.98,1.09,3.4,0.4,M,M,1.26,1,2.75,5.77,4.07,M,King
1993,4.2,0.37,4.67,4.84,M,1.89,1.5,0.28,T,1.88,1.34,5.16,M,King
1994,3.07,6.36,3.71,3.3,1.29,1.39,0.32,0.32,1.28,3.59,5.35,7.71,37.69,King
1995,M,4.49,3.89,1.69,0.75,1.68,1.3,2.22,1.36,4.23,8.98,6.5,M,King
1996,7.69,8.67,2.17,6.12,2.74,0.52,0.91,1.31,2.08,5.77,6.16,10.4,54.54,King
1997,6.35,2.12,7.9,4.12,3.85,2.32,1.57,1.09,3.05,5.56,3.61,3.12,44.66,King
1998,7.57,2.76,3.56,0.9,2.45,1.34,0.5,0.29,0.62,3.12,10.24,9.43,42.78,King
1999,7.38,6.81,4.64,M,2.01,1.78,1.1,1.56,0.12,2.38,10.33,4.95,M,King
2000,3.71,5.71,2.42,1.5,2.85,2.94,0.5,0.39,1.22,4.15,2.85,2.49,30.73,King
2001,2.74,1.59,3,3.72,1.36,3.92,1.22,1.85,0.79,3.27,11.23,6.39,M,King
2002,5.92,4.31,3.31,3.48,1.25,2,0.84,0.06,0.59,1.62,3.02,6.52,M,King
2003,8.44,1.73,6.68,2.59,0.88,0.43,T,0.44,0.97,8.94,6.56,4.44,42.1,King
2004,6.77,2.82,3.48,0.65,3.1,0.78,0.03,3.27,2.9,3.04,3.76,4.85,35.45,King
2005,4.18,1.2,4.01,4.03,2.41,1.22,1.32,0.29,1.07,2.98,6.42,7.24,M,King
2006,12.18,3.02,2.28,3.33,2.01,2.08,0.13,T,2.46,1.7,14.06,7.28,50.53,King
2007,4.45,3.47,5.13,0.84,1.32,1.7,1.44,0.54,2.56,3.38,3.23,6.57,M,King
2008,3.88,1.68,3.96,1.6,1.61,1.45,0.52,1.46,0.8,2.44,7.27,4.37,M,King
2009,5.34,3.18,4.32,3.09,M,0.28,0.02,M,1.37,5.07,8.84,2.33,M,King
2010,6.27,3.95,4.22,3.77,3.25,3.09,0.31,0.58,M,4.33,4.93,7.32,M,King
2011,5.04,2.88,7.2,5.15,3.65,M,0.7,M,1.06,4.55,4.73,2.24,M,King
2012,7.16,3.51,M,3.59,M,3,1.23,M,0.05,4.57,M,6.81,M,King
2013,M,M,M,5.47,M,2.15,M,M,5.42,M,M,M,M,King
2014,M,M,8.21,M,M,M,1.25,2.09,2.07,M,4.36,M,M,King
2015,M,M,M,1.86,0.68,0.18,0.07,M,M,5.21,M,M,M,King
2016,8.96,6.41,5.11,1.81,0.6,2.06,0.18,0.55,0.9,8.33,6.69,3.57,45.17,King
2017,3.81,9.27,6.98,M,M,1.5,M,M,M,5.14,M,4.74,M,King
2018,8.44,2.15,2.87,5.53,M,0.81,0.01,M,2.51,5.69,3.95,6.53,M,King
2019,M,4.01,M,3.29,M,0.77,M,0.79,M,M,1.78,7.27,M,King
2020,8.12,4.55,3.15,1.12,2.81,2.78,0.33,0.55,2.12,2.4,5.05,6.06,M,King
2021,9.14,4.63,M,M,1.34,1.87,0,0.08,2.53,M,9.69,4.2,M,King
2022,M,3.11,M,M,3.96,2.73,M,0.01,M,M,M,M,M,King
