Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1953,30.46,7.23,7.77,5.03,4.24,2.82,0.46,2.83,3.31,6.53,11.53,17.08,99.29,Grays Harbor
1954,20.22,M,5.73,5.69,0.97,3.39,2.3,4.41,2.84,5.91,14.01,10.37,M,Grays Harbor
1955,7.11,7.22,9.41,9.29,2.17,2.04,4.69,0.28,2.07,13.36,16.37,18.07,92.08,Grays Harbor
1956,16.75,8.15,17.17,1.41,1.38,4.99,0.99,1.78,5.39,13.72,5.19,13.1,90.02,Grays Harbor
1957,6.41,9.78,12.6,5.04,2.01,2.58,2.31,2.71,0.95,5.55,7.15,15.3,72.39,Grays Harbor
1958,13.76,11.88,4.89,8.44,1.34,2.6,0.04,1.13,3.91,8.24,16.59,12.48,86.13,Grays Harbor
1959,12.86,7,9.2,8.96,4.45,3.43,1.65,1.53,8.58,7.28,12.55,11.43,88.92,Grays Harbor
1960,12.5,10.24,8.52,6.1,8.32,1.32,0.04,2.37,1.06,7.52,14.29,7,79.28,Grays Harbor
1961,13.89,20.6,12.81,5.39,3.48,0.94,0.89,1.26,1.78,6.93,10.87,12.63,91.47,Grays Harbor
1962,7.16,4.56,8.2,6.74,3.71,2.37,0.52,3.04,4.34,8.06,16.99,9.79,75.48,Grays Harbor
1963,4.48,9.98,7.16,6.75,3.63,2.43,2.02,2.42,3,9.02,18.78,9.71,79.38,Grays Harbor
1964,19.99,5.31,10.5,5.37,3.32,3.5,M,3.98,3.58,4.17,14.32,12.49,M,Grays Harbor
1965,19.05,11.35,1.6,4.93,3.91,0.77,0.48,3.08,0.95,6.47,11.43,11.2,75.22,Grays Harbor
1966,13.07,8.79,11.38,3.21,2.31,2.51,0.5,1.14,2.08,7.85,9.61,20.77,83.22,Grays Harbor
1967,19.25,8.81,10.42,5.46,1.19,1.07,0.3,0.2,2.58,16.4,7.87,13.12,86.67,Grays Harbor
1968,13.06,9.73,12.33,5.12,3.97,5.94,0.85,3.98,4.54,8.35,10.8,16.51,95.18,Grays Harbor
1969,12.5,7.45,4.86,6.8,3.79,2.82,0.33,0.66,6.42,5.02,6.8,13.28,70.73,Grays Harbor
1970,13.84,7.93,6.82,8.46,3.73,0.88,1.03,0.58,5.51,7.79,9.44,19.16,85.17,Grays Harbor
1971,19.39,7.9,14.8,5.41,2.91,2.79,0.94,1.26,6.65,5.7,10.92,15.41,94.08,Grays Harbor
