Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1959,2.43,0.98,1.25,0.51,M,1.44,0.21,1.27,3.74,1.96,3.1,M,M,Setevens
1960,1.94,1.34,1.62,1.61,3.68,0.83,0,1.39,1.03,2.02,3.04,0.6,19.1,Setevens
1961,0.41,3.16,1.33,1.25,3.96,1.62,0.45,1.19,0.6,1.86,1.6,3.02,20.45,Setevens
1962,1.28,M,1.2,0.85,2.01,0.78,0.19,0.88,1.55,1.38,2.07,1.93,M,Setevens
1963,0.36,1.59,1,1.43,1.17,2.78,1.2,0.71,1.32,0.72,2.4,2.07,16.75,Setevens
1964,3.51,0.11,1.47,1.13,0.78,2.42,0.79,2.2,0.89,0.32,2.89,3.95,20.46,Setevens
1965,3.29,1.88,0.27,0.72,1.59,0.75,1.17,2.87,0.79,0.24,2.98,2.08,18.63,Setevens
1966,2.42,0.53,1.8,0.62,1.09,1.67,1.26,0.6,0.56,1.17,3.75,3.78,19.25,Setevens
1967,2.97,0.63,1.57,1.96,1.33,0.98,0.17,0.16,0.21,3.37,1.62,2.52,17.49,Setevens
1968,2.67,1.44,1.3,0.62,1.62,3.01,1.08,3.31,1.08,2.57,2.9,5.02,26.62,Setevens
1969,3.33,1.81,0.43,2.61,1.95,1.9,0.65,0.02,1.95,0.96,1.13,2.26,19,Setevens
1970,3.38,1.49,1.09,0.85,0.79,4.16,1,0.66,0.86,1.69,1.27,3.05,20.29,Setevens
1971,1.88,1.47,1.78,1.37,1.66,1.77,0.99,0.59,1.9,1.21,2.07,3.53,20.22,Setevens
1972,1.65,1.03,1.51,1.7,1.99,2.1,1.81,0.81,1.96,0.55,2.25,2.69,20.05,Setevens
1973,1.99,0.84,1.33,0.57,1.43,0.67,0.36,0.65,1.25,1.78,4.93,4.33,20.13,Setevens
1974,2.48,1.8,1.52,1.62,1.29,0.17,2.13,0.71,0.36,0.07,3.87,3.86,19.88,Setevens
1975,2.21,2.53,1.7,1.59,1.03,2.51,1.6,2.36,0.26,2.24,2.06,2.52,22.61,Setevens
1976,2.21,1.35,1.71,1.14,2.06,1.76,2.11,4.25,0.32,1.33,0.78,1.17,20.19,Setevens
1977,1.02,0.71,1.49,0.22,2.11,1.23,0.68,1.22,1.78,0.74,2.38,3.95,17.53,Setevens
1978,2.61,1.74,1.07,2.41,2.4,1.56,1.63,2.57,1.26,0.48,1.13,1.15,20.01,Setevens
1979,0.95,3.4,0.7,1.19,2.62,0.54,0.86,1.31,1.09,1.79,0.61,2.23,17.29,Setevens
1980,1.76,3.33,1.56,1.27,M,M,M,1.23,1.13,2.04,2.05,3.19,M,Setevens
1981,0.81,2.43,1.3,1.44,2.95,3.88,2.59,1.16,1.35,2.07,M,M,M,Setevens
