"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","146","122","84"
"8 years in 10","154","129","92"
"5 years in 10","171","141","108"
"2 years in 10","187","154","124"
"1 year in 10","196","160","133"
