"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","178","152","124"
"8 years in 10","188","160","129"
"5 years in 10","206","174","140"
"2 years in 10","225","188","151"
"1 year in 10","235","195","156"
