"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","230","165","141"
"8 years in 10","245","175","147"
"5 years in 10","274","196","158"
"2 years in 10","303","217","168"
"1 year in 10","318","227","174"
