"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","244","201","162"
"8 years in 10","264","211","174"
"5 years in 10","304","231","196"
"2 years in 10","351","251","219"
"1 year in 10","411","261","231"
