"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","155","129","99"
"8 years in 10","164","138","107"
"5 years in 10","183","155","120"
"2 years in 10","202","172","134"
"1 year in 10","211","181","141"
