"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","181","155","121"
"8 years in 10","190","162","129"
"5 years in 10","207","177","145"
"2 years in 10","225","191","160"
"1 year in 10","234","198","168"
