"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","Insufficient data","Insufficient data","Insufficient data"
"8 years in 10","Insufficient data","Insufficient data","Insufficient data"
"5 years in 10","Insufficient data","Insufficient data","Insufficient data"
"2 years in 10","Insufficient data","Insufficient data","Insufficient data"
"1 year in 10","Insufficient data","Insufficient data","Insufficient data"
