"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","Insufficient data","Insufficient data","124"
"8 years in 10","Insufficient data","Insufficient data","132"
"5 years in 10","Insufficient data","Insufficient data","149"
"2 years in 10","Insufficient data","Insufficient data","165"
"1 year in 10","Insufficient data","Insufficient data","173"
