"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","Insufficient data","Insufficient data","84"
"8 years in 10","Insufficient data","Insufficient data","92"
"5 years in 10","Insufficient data","Insufficient data","107"
"2 years in 10","Insufficient data","Insufficient data","123"
"1 year in 10","Insufficient data","Insufficient data","131"
