"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","219","166","114"
"8 years in 10","232","178","130"
"5 years in 10","257","201","161"
"2 years in 10","282","223","192"
"1 year in 10","295","235","208"
