"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","266","240","182"
"8 years in 10","284","252","195"
"5 years in 10","319","275","219"
"2 years in 10","359","298","242"
"1 year in 10","393","310","255"
