Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,County
1981,25,10,27,28,32,44,42,49,37,28,24,14,10,Chelan
1982,-2,9,25,26,32,41,45,48,39,27,13,13,M,Chelan
1983,15,19,29,29,37,33,37,46,26,M,23,-6,M,Chelan
1984,8,17,20,32,38,39,45,49,35,3,14,3,M,Chelan
1985,7,3,M,32,M,41,M,M,M,M,M,0,M,Chelan
1986,14,8,M,32,34,52,50,57,41,37,20,M,M,Chelan
1987,15,25,28,36,37,48,53,53,44,35,26,14,M,Chelan
1988,12,7,28,32,36,46,52,52,42,29,28,12,M,Chelan
1989,14,2,11,32,41,53,49,53,47,31,29,23,M,Chelan
1990,22,11,27,36,41,M,55,52,48,32,M,-8,M,Chelan
1991,4,21,26,33,41,43,54,55,44,21,22,24,M,Chelan
1992,20,25,27,32,39,51,56,46,42,31,22,9,M,Chelan
1993,-3,10,12,34,42,48,52,49,42,34,9,24,M,Chelan
1994,21,10,26,36,39,47,56,55,47,34,19,11,M,Chelan
1995,13,11,22,34,41,48,58,50,44,26,24,9,M,Chelan
1996,M,-1,19,32,35,46,50,53,41,28,M,M,M,Chelan
1997,M,13,24,30,37,47,52,54,46,34,25,21,M,Chelan
1998,7,26,27,33,42,50,58,53,50,32,30,4,M,Chelan
1999,19,21,27,31,35,M,48,51,39,33,31,28,M,Chelan
2000,17,20,29,34,39,48,51,49,M,34,23,11,M,Chelan
2001,20,16,26,32,38,46,M,55,45,33,28,24,M,Chelan
2002,19,22,21,32,35,44,51,51,45,23,22,26,M,Chelan
2003,23,21,24,32,40,52,55,56,43,29,19,15,M,Chelan
2004,-3,21,28,36,42,49,56,55,44,34,25,24,M,Chelan
2005,6,21,31,31,42,47,55,54,43,37,23,M,M,Chelan
2006,21,13,26,33,39,52,52,51,44,24,6,13,6,Chelan
2007,8,20,22,M,42,47,54,53,41,32,21,16,M,Chelan
2008,4,18,M,M,M,43,M,M,M,M,M,M,M,Chelan
2009,M,M,M,M,M,50,M,M,M,M,M,M,M,Chelan
2010,M,M,M,M,M,45,54,M,M,35,3,10,M,Chelan
2011,6,8,26,30,39,48,52,54,43,31,24,18,6,Chelan
2012,6,18,M,M,38,M,56,53,45,34,27,M,M,Chelan
2013,11,21,27,33,36,51,58,M,M,32,M,M,M,Chelan
2014,M,3,20,37,44,44,50,51,35,34,9,10,M,Chelan
2015,13,22,21,28,34,48,49,M,38,34,19,10,M,Chelan
2016,5,15,25,33,38,37,49,49,40,31,26,3,3,Chelan
2017,-2,7,21,29,32,42,49,47,40,28,20,7,-2,Chelan
2018,18,10,23,29,40,41,48,47,38,32,22,19,M,Chelan
2019,17,5,8,29,35,47,49,50,36,16,16,M,M,Chelan
2020,6,18,22,24,32,45,46,M,42,20,25,10,M,Chelan
2021,14,7,20,21,38,42,55,45,M,26,M,M,M,Chelan
2022,-6,6,16,24,33,45,50,50,43,M,M,M,M,Chelan
