"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1997","55","62","56","64","85","75","82","89","84","70","60","62","89"
"1998","59","55","64","81","82","78","94","89","82","73","56","55","94"
"1999","51","52","67","79","86","82","84","85","87","69","59","52","87"
"2000","49","61","65","75","73","89","83","81","80","72","55","57","89"
"2001","58","60","68","73","85","77","79","91","79","71","58","51","91"
"2002","57","59","60","70","79","90","89","96","80","71","58","54","M"
"2003","56","61","65","68","79","94","90","M","M","M","55","52","M"
"2004","56","59","M","82","M","M","M","M","M","75","58","55","M"
"2005","59","66","70","77","91","86","87","87","75","66","57","57","91"
"2006","59","61","60","73","87","97","95","82","89","71","60","57","97"
"2007","55","57","63","71","82","76","98","84","84","71","59","55","98"
"2008","54","60","57","77","92","94","85","87","84","74","60","53","94"
"2009","49","61","59","72","77","91","95","88","84","67","56","53","M"
"2010","56","59","67","67","67","75","92","94","76","71","64","53","94"
"2011","52","51","61","67","68","82","79","84","87","67","60","52","87"
"2012","58","57","65","70","82","71","75","95","88","73","60","51","95"
"2013","49","56","73","69","85","83","87","84","89","72","58","51","89"
"2014","55","55","67","82","86","78","91","91","89","75","58","58","91"
"2015","60","64","65","75","75","95","92","91","81","76","56","56","95"
"2016","54","71","70","82","84","90","79","93","79","62","64","49","93"
"2017","53","59","55","65","85","92","84","96","92","68","58","52","96"
"2018","55","51","70","80","83","90","93","88","84","76","58","56","93"
"2019","59","51","81","69","85","92","82","90","82","67","61","52","92"
"2020","54","60","64","70","87","77","91","92","93","77","61","58","93"
"2021","54","51","65","83","79","110","88","97","88","64","57","52","110"
"2022","55","60","61","71","73","93","90","95","93","M","M","M","M"
