"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"2009","9","11","13","M","21","35","39","36","34","M","25","M","M"
"2010","25","24","M","23","29","33","40","35","35","27","M","8","M"
"2011","9","4","19","25","28","36","38","40","33","26","15","17","M"
"2012","M","15","18","24","29","36","39","41","36","M","M","M","M"
"2013","11","M","M","27","27","39","40","46","37","M","M","M","M"
"2014","M","7","26","29","31","37","41","42","40","M","M","13","M"
"2015","M","M","M","29","31","38","43","42","33","34","M","13","M"
"2016","15","26","26","30","34","34","43","41","35","M","M","M","M"
"2017","8","17","20","26","30","34","38","37","33","M","25","M","M"
"2018","26","10","21","24","35","34","43","44","33","M","M","M","M"
"2019","M","M","M","M","M","35","38","41","29","17","M","M","M"
"2020","16","17","M","23","M","35","42","36","37","M","M","M","M"
"2021","21","12","20","M","M","34","41","39","30","M","M","12","M"
"2022","9","4","20","M","M","37","41","41","32","M","M","M","M"
