"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1988","-2","-4","20","26","M","35","45","44","33","M","20","-5","M"
"1989","M","-7","-1","26","28","39","41","M","M","21","20","14","M"
"1990","15","-2","22","M","33","37","44","44","35","24","16","M","M"
"1991","M","M","18","27","31","39","41","43","35","14","M","14","M"
"1992","M","18","M","24","30","44","49","35","33","M","6","-3","M"
"1993","-11","2","10","30","40","45","46","45","36","28","-3","11","M"
"1994","17","3","22","31","33","39","46","49","44","27","12","0","M"
"1995","1","-5","16","24","38","40","46","41","34","11","13","1","M"
"1996","-16","-15","13","25","28","38","40","45","31","19","M","M","M"
"1997","M","M","13","16","25","38","42","43","34","23","13","10","M"
"1998","-2","17","16","25","32","M","50","M","40","M","19","-3","M"
"1999","7","9","15","23","27","M","39","43","29","23","19","12","M"
"2000","1","5","17","24","29","M","M","M","M","22","6","-7","M"
"2001","4","-2","14","21","25","35","43","44","33","17","19","M","M"
"2002","1","7","1","20","23","36","40","42","32","5","6","M","M"
"2003","12","5","20","21","27","M","M","38","M","M","-1","-3","M"
"2004","-15","10","21","28","35","38","50","49","36","M","16","M","M"
"2005","2","15","26","21","29","37","M","44","32","25","7","-1","M"
"2006","9","0","16","25","29","42","42","40","36","26","-4","3","M"
"2007","-8","8","M","22","35","38","45","42","33","23","11","6","M"
"2008","M","M","19","20","27","37","38","40","30","25","18","-14","M"
"2009","-2","14","9","25","31","37","M","43","35","13","18","-4","M"
"2010","5","M","21","24","26","36","46","41","38","28","-12","M","M"
"2011","-5","-3","18","23","28","38","40","46","38","23","10","4","-5"
"2012","2","10","18","24","30","32","40","41","36","20","18","11","M"
"2013","0","18","21","25","28","40","M","M","37","23","12","-4","M"
"2014","14","-11","6","M","35","38","39","50","33","33","2","2","M"
"2015","3","21","18","19","30","41","41","42","35","33","12","4","M"
"2016","2","6","M","31","34","37","M","46","35","25","23","M","M"
"2017","-5","-1","11","M","M","40","M","45","34","25","M","-1","M"
"2018","M","6","M","20","M","M","M","M","M","M","M","M","M"
"2019","M","M","M","M","34","31","42","49","M","16","10","M","M"
"2020","M","M","M","M","M","M","M","M","M","M","M","M","M"
