"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1995","21","23","24","31","39","47","50","45","43","26","M","M","M"
"1996","13","14","28","34","39","41","46","47","M","29","M","M","M"
"1997","M","26","30","M","M","46","51","53","44","35","M","M","M"
"1998","M","34","27","M","M","49","M","49","43","31","M","M","M"
"1999","M","31","26","32","34","41","M","49","37","32","M","M","M"
"2000","M","25","30","33","35","46","M","45","M","M","M","22","M"
"2001","M","M","30","M","36","M","48","41","M","35","M","M","M"
"2002","26","M","28","33","35","M","46","M","M","26","M","M","M"
"2003","M","M","32","37","M","44","M","45","M","31","M","24","M"
"2004","M","28","31","34","38","M","M","M","46","33","M","M","M"
"2005","M","25","33","31","44","48","M","48","M","33","M","M","M"
"2006","M","19","28","35","37","49","50","50","M","25","M","M","M"
"2007","M","M","M","33","M","46","50","46","41","M","M","27","M"
"2008","M","28","28","30","38","45","47","47","40","32","M","11","M"
"2009","22","27","22","29","41","46","M","47","39","32","M","13","M"
"2010","32","29","29","32","37","44","49","47","46","33","M","M","M"
"2011","20","20","33","33","36","46","M","49","M","34","M","M","M"
"2012","M","27","M","33","37","44","47","48","M","34","M","M","M"
"2013","19","30","28","35","34","M","M","M","M","32","M","M","M"
"2014","M","16","30","34","37","M","53","M","45","M","M","19","M"
"2015","M","29","28","35","M","48","55","49","39","M","M","M","M"
"2016","M","28","M","M","34","M","M","M","M","M","M","M","M"
"2017","M","M","M","37","39","M","M","M","M","M","M","M","M"
"2018","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2019","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2020","M","27","M","M","M","45","M","M","49","31","M","M","M"
"2021","25","M","29","M","M","M","M","M","M","M","M","M","M"
"2022","M","M","M","33","38","47","53","45","41","M","M","M","M"
