Year,Month,Highest Temperature
1909,Dec,45.39090909090909
1909,Feb,52.6
1909,Jan,48.410000000000004
1909,Jul,87.6
1909,Jun,83.61
1909,Mar,64.58888888888889
1909,May,79.74
1909,Nov,56.95454545454545
1909,Oct,74.19090909090909
1909,Sep,89.87
1910,Apr,82.13
1910,Aug,89.74
1910,Dec,44.43333333333334
1910,Feb,44.44166666666666
1910,Jan,46.574999999999996
1910,Jul,93.75
1910,Jun,88.75
1910,Mar,66.0
1910,May,87.35000000000001
1910,Nov,58.154545454545456
1910,Oct,74.33636363636364
1910,Sep,83.42999999999999
1911,Apr,72.2909090909091
1911,Aug,89.41818181818182
1911,Dec,44.50909090909091
1911,Feb,43.75
1911,Jan,47.35454545454545
1911,Jul,97.4090909090909
1911,Jun,89.33333333333333
1911,Mar,67.7
1911,May,80.76666666666667
1911,Nov,55.55555555555556
1911,Oct,76.01
1911,Sep,86.5
1912,Apr,67.98333333333333
1912,Aug,87.58461538461538
1912,Dec,46.44166666666666
1912,Feb,49.6
1912,Jan,47.26666666666667
1912,Jul,93.54545454545455
1912,Jun,90.41538461538462
1912,Mar,63.11666666666667
1912,May,81.76666666666667
1912,Nov,55.77272727272727
1912,Oct,68.14615384615385
1912,Sep,79.5923076923077
1913,Apr,71.66666666666667
1913,Aug,91.10000000000001
1913,Dec,47.074999999999996
1913,Feb,48.25384615384615
1913,Jan,46.324999999999996
1913,Jul,91.48181818181818
1913,Jun,84.95833333333333
1913,Mar,55.24615384615385
1913,May,79.56666666666666
1913,Nov,53.93076923076923
1913,Oct,69.21666666666667
1913,Sep,80.86666666666666
1914,Apr,70.28571428571429
1914,Aug,91.04615384615384
1914,Dec,43.28666666666666
1914,Feb,50.099999999999994
1914,Jan,50.69166666666666
1914,Jul,91.76153846153846
1914,Jun,84.84615384615384
1914,Mar,63.47692307692308
1914,May,82.22307692307693
1914,Nov,55.73846153846154
1914,Oct,69.65384615384616
1914,Sep,80.76666666666667
1915,Apr,75.06
1915,Aug,93.82307692307693
1915,Dec,47.721428571428575
1915,Feb,51.20666666666667
1915,Jan,43.66428571428571
1915,Jul,91.42307692307692
1915,Jun,86.81428571428572
1915,Mar,69.34666666666666
1915,May,76.97142857142856
1915,Nov,53.550000000000004
1915,Oct,69.72857142857143
1915,Sep,81.4923076923077
1916,Apr,69.06428571428572
1916,Aug,90.92857142857143
1916,Dec,45.580000000000005
1916,Feb,50.83571428571429
1916,Jan,42.9
1916,Jul,84.37692307692308
