,year,month,excessive_heat,frost_freeze,heavy_snow,heavy_rain,dense_smoke
117,2009,10,0.0,0.0,0.0,0.0,0.0
118,2009,11,0.0,0.0,1.0,0.0,0.0
119,2009,12,0.0,0.0,3.0,0.0,0.0
120,2010,01,0.0,0.0,2.0,0.0,0.0
121,2010,02,0.0,0.0,0.0,0.0,0.0
122,2010,03,0.0,0.0,0.0,0.0,0.0
123,2010,04,0.0,0.0,2.0,0.0,0.0
124,2010,05,0.0,0.0,0.0,1.0,0.0
125,2010,06,0.0,0.0,0.0,1.0,0.0
126,2010,07,1.0,0.0,0.0,2.0,0.0
127,2010,08,0.0,0.0,0.0,0.0,0.0
128,2010,09,0.0,0.0,0.0,1.0,0.0
129,2010,10,0.0,0.0,0.0,0.0,0.0
130,2010,11,0.0,0.0,4.0,0.0,0.0
131,2010,12,0.0,0.0,2.0,0.0,0.0
132,2011,01,0.0,0.0,2.0,0.0,0.0
133,2011,02,0.0,0.0,5.0,0.0,0.0
134,2011,03,0.0,0.0,0.0,0.0,0.0
135,2011,04,0.0,0.0,1.0,0.0,0.0
136,2011,05,0.0,0.0,2.0,0.0,0.0
137,2011,06,0.0,0.0,0.0,0.0,0.0
138,2011,07,0.0,0.0,0.0,1.0,0.0
139,2011,08,0.0,0.0,0.0,0.0,0.0
140,2011,09,0.0,0.0,0.0,0.0,0.0
141,2011,10,0.0,0.0,0.0,0.0,0.0
142,2011,11,0.0,0.0,2.0,0.0,0.0
143,2011,12,0.0,0.0,1.0,0.0,0.0
144,2012,01,0.0,0.0,7.0,0.0,0.0
145,2012,02,0.0,0.0,4.0,0.0,0.0
146,2012,03,0.0,0.0,2.0,0.0,0.0
147,2012,04,0.0,0.0,0.0,0.0,0.0
148,2012,05,0.0,0.0,0.0,0.0,0.0
149,2012,06,0.0,0.0,0.0,0.0,0.0
150,2012,07,0.0,0.0,0.0,1.0,0.0
151,2012,08,0.0,0.0,0.0,0.0,0.0
152,2012,09,0.0,0.0,0.0,0.0,0.0
153,2012,10,0.0,0.0,1.0,0.0,0.0
154,2012,11,0.0,0.0,3.0,0.0,0.0
155,2012,12,0.0,0.0,6.0,0.0,0.0
156,2013,01,0.0,0.0,3.0,0.0,0.0
157,2013,02,0.0,0.0,1.0,0.0,0.0
158,2013,03,0.0,0.0,2.0,0.0,0.0
159,2013,04,0.0,0.0,2.0,0.0,0.0
160,2013,05,0.0,0.0,1.0,0.0,0.0
161,2013,06,0.0,0.0,0.0,1.0,0.0
162,2013,07,0.0,0.0,0.0,0.0,0.0
163,2013,08,0.0,0.0,0.0,0.0,0.0
164,2013,09,0.0,0.0,0.0,0.0,0.0
165,2013,10,0.0,0.0,0.0,0.0,0.0
166,2013,11,0.0,0.0,1.0,0.0,0.0
167,2013,12,0.0,0.0,0.0,0.0,0.0
