,location,county_zone,state,date,time,timezone,type,deaths,injuries,property_damage_dollars,crop_damage_dollars
0,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-11-19,12:00:00 AM,PST,Heavy Snow,0,0,0,0
1,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1996-11-19,12:00:00 AM,PST,Heavy Snow,1,0,0,0
2,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-11-24,12:00:00 AM,PST,Heavy Snow,0,0,0,0
3,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-11-27,12:00:00 AM,PST,Heavy Snow,0,0,0,0
4,UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,1996-12-02,3:00:00 PM,PST,Heavy Snow,0,0,0,0
5,EAST YAKIMA/EAST KLICKIT...,EAST YAKIMA/EAST KLICKIT...,WA,1996-12-04,9:00:00 AM,PST,Heavy Snow,0,3,0,0
6,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-27,3:00:00 PM,PST,Heavy Snow,0,1,0,0
7,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,0,0
8,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,0,0
9,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1996-12-28,12:00:00 AM,PST,Heavy Snow,0,0,30000000,0
10,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-28,9:45:00 AM,PST,Heavy Snow,0,0,0,0
11,UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO…,WA,1996-12-29,3:00:00 AM,PST,Heavy Snow,0,0,0,0
12,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1996-12-29,3:00:00 AM,PST,Heavy Snow,0,0,0,0
13,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-29,4:30:00 PM,PST,Heavy Snow,0,0,0,0
14,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1996-12-30,6:30:00 AM,PST,Heavy Snow,0,0,0,0
15,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-01-01,12:00:00 AM,PST,Flood,0,0,0,0
16,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1997-01-01,12:00:00 AM,PST,Flood,0,0,0,0
17,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1997-01-02,1:00:00 AM,PST,Flood,0,0,0,0
18,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-01-31,8:00:00 AM,PST,Flood,0,0,0,0
19,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1997-02-17,6:00:00 PM,PST,Flood,0,0,0,0
20,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,1997-03-15,11:00:00 AM,PST,Heavy Snow,0,0,0,0
21,UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,1997-03-15,11:00:00 AM,PST,Heavy Snow,0,0,0,0
22,NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1997-05-21,12:00:00 AM,PST,Flood,0,0,0,0
23,EPHRATA,GRANT CO.,WA,1997-05-31,11:10:00 AM,PST,Heavy Rain,0,0,0,0
24,WILSON CREEK,GRANT CO.,WA,1997-05-31,11:40:00 AM,PST,Heavy Rain,0,0,0,0
25,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1997-06-12,7:00:00 AM,PST,Flood,0,0,0,0
26,BERRIAN,BENTON CO.,WA,1997-08-26,3:30:00 PM,PST,Wildfire,0,0,0,0
27,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-01-03,8:00:00 AM,PST,Winter Storm,0,0,0,0
28,NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1998-01-07,1:00:00 AM,PST,Heavy Snow,0,0,0,0
29,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-01-10,12:00:00 PM,PST,Heavy Snow,0,0,0,0
30,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0,0
31,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0,0
32,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0,0
33,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1998-01-10,2:00:00 PM,PST,Heavy Snow,0,0,0,0
34,NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1998-01-14,6:00:00 AM,PST,Heavy Snow,0,0,0,0
35,E YAKIMA (ZONE),E YAKIMA (ZONE),WA,1998-01-14,9:00:00 AM,PST,Winter Storm,0,0,0,0
36,NE OKANOGAN/FERRY/STEVEN...,NE OKANOGAN/FERRY/STEVEN...,WA,1998-02-20,8:00:00 PM,PST,Heavy Snow,0,0,0,0
37,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1998-02-25,10:00:00 AM,PST,Winter Storm,0,0,0,0
38,N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,1998-03-26,12:00:00 PM,PST,Heavy Snow,0,0,0,0
39,PLAIN,CHELAN CO.,WA,1998-06-05,5:01:00 PM,PST,Heavy Rain,0,0,0,0
40,CLE ELUM ARPT,KITTITAS CO.,WA,1998-06-06,5:05:00 PM,PST,Heavy Rain,0,0,0,0
41,OROVILLE,OKANOGAN CO.,WA,1998-06-28,2:26:00 PM,PST,Heavy Rain,0,0,0,0
42,OMAK,OKANOGAN CO.,WA,1998-07-27,10:30:00 PM,PST,Wildfire,0,0,50000,25000
43,CHELAN,CHELAN CO.,WA,1998-08-02,11:00:00 PM,PST,Wildfire,0,0,10000000,80000000
44,WAUCONDA,OKANOGAN CO.,WA,1998-08-21,4:00:00 PM,PST,Heavy Rain,0,0,0,0
45,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1998-11-07,5:00:00 PM,PST,Heavy Snow,0,0,0,0
46,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,1998-11-19,9:00:00 AM,PST,Heavy Snow,0,0,0,0
47,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,1998-11-20,4:00:00 AM,PST,Heavy Snow,0,0,0,0
48,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1998-12-01,12:00:00 AM,PST,Heavy Snow,0,0,0,0
49,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1998-12-01,12:00:00 PM,PST,Heavy Snow,0,0,0,0
50,E KITTITAS (ZONE),E KITTITAS (ZONE),WA,1998-12-05,1:00:00 PM,PST,Heavy Snow,0,0,0,0
51,E YAKIMA (ZONE),E YAKIMA (ZONE),WA,1998-12-05,1:00:00 PM,PST,Heavy Snow,0,0,0,0
52,S GRANT & SW ADAMS (ZONE),S GRANT & SW ADAMS (ZONE),WA,1998-12-07,9:00:00 AM,PST,Heavy Snow,0,0,0,0
53,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1998-12-07,5:00:00 PM,PST,Heavy Snow,0,0,0,0
54,NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,1998-12-08,9:00:00 AM,PST,Heavy Snow,0,0,0,0
55,E YAKIMA (ZONE),E YAKIMA (ZONE),WA,1998-12-24,12:00:00 AM,PST,Winter Storm,0,0,0,0
56,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1998-12-24,12:00:00 AM,PST,Winter Storm,0,0,0,0
57,N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,1998-12-24,12:00:00 AM,PST,Winter Storm,0,0,0,0
58,BENTON/FRANKLIN/WALLA WA...,BENTON/FRANKLIN/WALLA WA...,WA,1998-12-24,12:00:00 AM,PST,Winter Storm,0,0,0,0
59,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1998-12-24,8:00:00 AM,PST,Heavy Snow,0,0,0,0
60,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1998-12-25,2:00:00 AM,PST,Heavy Snow,0,0,0,0
61,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0,0
62,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0,0
63,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0,0
64,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0,0
65,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-12-25,6:00:00 AM,PST,Winter Storm,0,0,0,0
66,NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,1998-12-26,4:00:00 AM,PST,Heavy Snow,0,0,0,0
67,DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,1998-12-27,2:00:00 AM,PST,Heavy Snow,0,0,0,0
68,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1998-12-27,7:00:00 AM,PST,Heavy Snow,0,0,0,0
69,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1998-12-28,11:00:00 AM,PST,Flood,0,0,0,0
70,E KITTITAS (ZONE),E KITTITAS (ZONE),WA,1998-12-28,11:00:00 AM,PST,Flood,0,0,0,0
71,NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,1999-01-11,5:00:00 PM,PST,Heavy Snow,0,0,0,0
72,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-01-14,5:00:00 PM,PST,Heavy Snow,0,0,0,0
73,E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,1999-01-15,5:00:00 PM,PST,Heavy Snow,0,0,0,0
74,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-01-16,5:00:00 PM,PST,Heavy Snow,0,0,0,0
75,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-01-17,12:00:00 PM,PST,Heavy Snow,0,0,0,0
76,NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,1999-01-17,5:00:00 PM,PST,Heavy Snow,0,0,0,0
77,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1999-01-21,5:00:00 AM,PST,Heavy Snow,0,0,0,0
78,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-01-22,5:00:00 AM,PST,Heavy Snow,0,0,0,0
79,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1999-01-22,10:00:00 AM,PST,Heavy Snow,0,0,0,0
80,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,1999-01-22,10:00:00 AM,PST,Heavy Snow,0,0,0,0
81,DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,1999-01-30,5:00:00 PM,PST,Heavy Snow,0,0,0,0
82,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-02-02,5:00:00 AM,PST,Heavy Snow,0,0,0,0
83,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-02-05,10:00:00 AM,PST,Heavy Snow,0,0,0,0
84,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-02-10,8:00:00 AM,PST,Winter Storm,1,1,0,0
85,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-02-16,6:00:00 PM,PST,Heavy Snow,0,0,0,0
86,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-02-28,10:00:00 AM,PST,Heavy Snow,0,0,0,0
87,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1999-03-15,8:00:00 PM,PST,Heavy Snow,0,0,0,0
88,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-03-16,6:00:00 AM,PST,Heavy Snow,0,0,0,0
89,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-03-26,8:00:00 PM,PST,Heavy Snow,0,0,0,0
90,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,1999-03-28,8:00:00 PM,PST,Heavy Snow,0,0,0,0
91,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-03-31,6:00:00 AM,PST,Heavy Snow,0,0,0,0
92,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-04-09,12:00:00 PM,PST,Heavy Snow,0,0,0,0
93,BLUE MOUNTAIN FOOTHILLS ...,BLUE MOUNTAIN FOOTHILLS ...,WA,1999-07-01,12:00:00 AM,PST,Drought,0,0,0,0
94,LOWER COLUMBIA BASIN (ZO...,LOWER COLUMBIA BASIN (ZO...,WA,1999-07-01,12:00:00 AM,PST,Drought,0,0,0,0
95,CHELAN,CHELAN CO.,WA,1999-08-03,12:00:00 AM,PST,Wildfire,0,0,0,0
96,COUNTYWIDE,OKANOGAN CO.,WA,1999-08-03,12:00:00 AM,PST,Wildfire,0,0,0,0
97,WINTHROP,OKANOGAN CO.,WA,1999-08-03,12:00:00 AM,PST,Wildfire,0,0,0,0
98,WINTHROP,OKANOGAN CO.,WA,1999-08-14,12:00:00 AM,PST,Heavy Rain,0,0,0,0
99,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,1999-10-26,5:00:00 PM,PST,Heavy Snow,0,0,0,0
100,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-10-26,5:00:00 PM,PST,Heavy Snow,0,0,0,0
101,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,1999-10-27,12:51:00 PM,PST,Heavy Snow,0,0,0,0
102,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,1999-12-01,5:00:00 AM,PST,Heavy Snow,0,0,0,0
103,E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,1999-12-09,6:00:00 AM,PST,Heavy Snow,0,0,0,0
104,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,1999-12-14,6:00:00 AM,PST,Heavy Snow,0,0,0,0
105,NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,1999-12-17,6:00:00 AM,PST,Heavy Snow,0,0,0,0
106,DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,1999-12-31,6:00:00 AM,PST,Heavy Snow,0,0,0,0
107,UPPER COLUMBIA BASIN (ZO...,UPPER COLUMBIA BASIN (ZO...,WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0,0
108,OKANOGAN VALLEY (ZONE),OKANOGAN VALLEY (ZONE),WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0,0
109,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0,0
110,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0,0
111,MOSES LAKE AREA (ZONE),MOSES LAKE AREA (ZONE),WA,2000-01-04,2:00:00 AM,PST,Heavy Snow,0,0,0,0
112,E KITTITAS (ZONE),E KITTITAS (ZONE),WA,2000-01-15,10:00:00 PM,PST,Heavy Snow,0,0,0,0
113,E YAKIMA (ZONE),E YAKIMA (ZONE),WA,2000-01-15,10:00:00 PM,PST,Heavy Snow,0,0,0,0
114,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2000-02-01,12:00:00 AM,PST,Heavy Snow,0,0,0,0
115,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,2000-02-01,12:00:00 AM,PST,Heavy Snow,0,0,0,0
116,DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,20000,0
117,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,0,0
118,NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,0,0
119,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,0,0
120,E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,2000-02-01,4:00:00 AM,PST,Heavy Snow,0,0,0,0
121,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2000-02-14,9:00:00 AM,PST,Heavy Snow,0,0,0,0
122,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2000-03-04,4:30:00 AM,PST,Heavy Snow,0,0,0,0
123,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2000-03-05,5:00:00 PM,PST,Heavy Snow,0,0,0,0
124,N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,2000-03-05,10:00:00 PM,PST,Heavy Snow,0,0,0,0
125,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2000-03-16,5:00:00 AM,PST,Heavy Snow,0,0,0,0
126,WALLA WALLA,WALLA WALLA CO.,WA,2000-05-30,10:00:00 AM,PST,Heavy Rain,0,0,3000,0
127,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2000-05-30,12:30:00 PM,PST,Heavy Snow,0,0,45000,0
128,TAMPICO,YAKIMA CO.,WA,2000-07-17,5:00:00 PM,PST,Wildfire,0,0,0,0
129,WHITE SWAN,YAKIMA CO.,WA,2000-07-17,5:00:00 PM,PST,Wildfire,0,0,0,0
130,FINLEY,BENTON CO.,WA,2000-07-21,4:30:00 PM,PST,Wildfire,0,0,0,0
131,OROVILLE,OKANOGAN CO.,WA,2000-07-22,12:00:00 PM,PST,Wildfire,0,0,3300000,0
132,WAITSBURG,WALLA WALLA CO.,WA,2000-10-01,12:00:00 AM,PST,Heavy Rain,0,0,90000,0
133,WATERVILLE PLATEAU (ZONE),WATERVILLE PLATEAU (ZONE),WA,2000-11-08,1:00:00 AM,PST,Heavy Snow,0,0,0,0
134,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2000-11-08,1:00:00 AM,PST,Heavy Snow,0,0,0,0
135,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2000-11-08,6:00:00 AM,PST,Heavy Snow,0,0,0,0
136,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2000-11-26,8:00:00 PM,PST,Heavy Snow,0,0,0,0
137,E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,2000-11-29,12:00:00 AM,PST,Heavy Snow,0,0,0,0
138,NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,2000-11-29,12:00:00 AM,PST,Heavy Snow,0,0,0,0
139,DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,2000-11-29,12:00:00 AM,PST,Heavy Snow,0,0,0,0
140,NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,2000-11-29,12:00:00 AM,PST,Heavy Snow,0,0,0,0
141,E KITTITAS (ZONE),E KITTITAS (ZONE),WA,2000-11-29,4:00:00 AM,PST,Heavy Snow,0,0,0,0
142,N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,2000-12-13,10:00:00 PM,PST,Heavy Snow,0,0,0,0
143,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2000-12-14,10:00:00 AM,PST,Heavy Snow,0,0,0,0
144,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2000-12-14,2:00:00 PM,PST,Winter Storm,0,0,0,0
145,WATERVILLE PLATEAU (ZONE),WATERVILLE PLATEAU (ZONE),WA,2000-12-14,2:00:00 PM,PST,Winter Storm,0,0,0,0
146,WENATCHEE AREA (ZONE),WENATCHEE AREA (ZONE),WA,2000-12-14,2:00:00 PM,PST,Winter Storm,0,0,0,0
147,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2000-12-16,12:00:00 AM,PST,Heavy Snow,0,0,0,0
148,E KITTITAS (ZONE),E KITTITAS (ZONE),WA,2000-12-23,8:00:00 AM,PST,Heavy Snow,0,0,0,0
149,N COLUMBIA/SE WALLA WALL...,N COLUMBIA/SE WALLA WALL...,WA,2001-01-11,10:00:00 PM,PST,Heavy Snow,0,0,0,0
150,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2001-01-13,4:00:00 PM,PST,Heavy Snow,0,0,0,0
151,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-01-21,9:00:00 AM,PST,Heavy Snow,0,0,0,0
152,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-02-04,2:00:00 AM,PST,Heavy Snow,0,0,0,0
153,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2001-02-04,2:00:00 AM,PST,Heavy Snow,0,0,0,0
154,DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0,0
155,NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0,0
156,S GRANT & SW ADAMS (ZONE),S GRANT & SW ADAMS (ZONE),WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0,0
157,NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0,0
158,E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0,0
159,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2001-02-15,11:00:00 PM,PST,Heavy Snow,0,0,0,0
160,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-04-03,3:00:00 AM,PST,Heavy Snow,0,0,0,0
161,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2001-04-10,7:00:00 AM,PST,Heavy Snow,0,0,0,0
162,COUNTYWIDE,GRANT CO.,WA,2001-06-26,6:00:00 PM,PST,Heavy Rain,0,0,0,500000
163,COUNTYWIDE,DOUGLAS CO.,WA,2001-06-26,6:00:00 PM,PST,Heavy Rain,0,0,0,10000000
164,COUNTYWIDE,CHELAN CO.,WA,2001-06-26,6:00:00 PM,PST,Heavy Rain,0,0,0,10000000
165,WINTHROP,OKANOGAN CO.,WA,2001-07-09,8:00:00 PM,PST,Wildfire,4,4,0,0
166,OKANOGAN,OKANOGAN CO.,WA,2001-08-12,9:00:00 AM,PST,Wildfire,0,2,900000,0
167,CHELAN,CHELAN CO.,WA,2001-08-12,2:00:00 PM,PST,Wildfire,0,0,200000,0
168,OKANOGAN HIGHLANDS (ZONE),OKANOGAN HIGHLANDS (ZONE),WA,2001-10-12,5:00:00 AM,PST,Heavy Snow,0,0,0,0
169,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2001-11-23,1:00:00 AM,PST,Heavy Snow,0,0,0,0
170,YAKIMA VALLEY (ZONE),YAKIMA VALLEY (ZONE),WA,2001-11-28,12:00:00 AM,PST,Heavy Snow,0,0,100000,0
171,KITTITAS VALLEY (ZONE),KITTITAS VALLEY (ZONE),WA,2001-11-28,12:00:00 AM,PST,Heavy Snow,0,0,0,0
172,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2001-11-28,1:00:00 AM,PST,Heavy Snow,0,0,0,0
173,DOUGLAS X EXTREME W&N PA...,DOUGLAS X EXTREME W&N PA...,WA,2001-11-28,5:00:00 AM,PST,Heavy Snow,0,0,0,0
174,NE GRANT/X NE DOUGLAS/X ...,NE GRANT/X NE DOUGLAS/X ...,WA,2001-11-28,5:00:00 AM,PST,Heavy Snow,0,0,0,0
175,NC&S OKANOGAN X EXTREME ...,NC&S OKANOGAN X EXTREME ...,WA,2001-11-28,5:00:00 AM,PST,Heavy Snow,0,0,0,0
176,E CHELAN/EXTREME W DOUGL...,E CHELAN/EXTREME W DOUGL...,WA,2001-11-28,5:00:00 AM,PST,Heavy Snow,0,0,0,0
177,S GRANT & SW ADAMS (ZONE),S GRANT & SW ADAMS (ZONE),WA,2001-11-28,5:00:00 AM,PST,Heavy Snow,0,0,0,0
178,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-11-28,5:00:00 AM,PST,Heavy Snow,0,0,0,0
179,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2001-11-28,9:00:00 AM,PST,Blizzard,0,0,0,0
180,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-12-01,12:00:00 AM,PST,Winter Storm,0,0,0,0
181,X SE WALLA WALLA/S COLUM...,X SE WALLA WALLA/S COLUM...,WA,2001-12-04,5:00:00 AM,PST,Heavy Snow,0,0,0,0
182,W OKANOGAN/C&W CHELAN (Z...,W OKANOGAN/C&W CHELAN (Z...,WA,2001-12-06,12:00:00 AM,PST,Heavy Snow,0,0,0,0
183,NE OKANOGAN/FERRY (ZONE),NE OKANOGAN/FERRY (ZONE),WA,2001-12-12,6:00:00 PM,PST,Heavy Snow,0,0,0,0
