,location,county_zone,state,date,time,timezone,type,deaths,injuries,property_damage_dollars,crop_damage_dollars
1344,CHEW,WALLA WALLA CO.,WA,2017-02-21,2:43:00 PM,PST-8,Flood,0,0,10000,0
1345,SAGEHILL,FRANKLIN CO.,WA,2017-02-21,2:43:00 PM,PST-8,Flood,0,0,3000000,0
1346,EAST SLOPES OF THE WASHI...,EAST SLOPES OF THE WASHI...,WA,2017-03-06,9:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1347,NORTHWEST BLUE MOUNTAINS...,NORTHWEST BLUE MOUNTAINS...,WA,2017-03-07,6:00:00 AM,PST-8,Heavy Snow,0,0,0,0
1348,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-03-07,4:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1349,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-03-07,4:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1350,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-03-07,4:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1351,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-03-07,4:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1352,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-03-07,4:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1353,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-03-07,4:00:00 PM,PST-8,Heavy Snow,0,0,0,0
1354,LOWDEN,WALLA WALLA CO.,WA,2017-03-10,5:00:00 PM,PST-8,Flood,0,0,0,0
1355,HENRYBRO,YAKIMA CO.,WA,2017-03-10,7:31:00 PM,PST-8,Flood,0,0,20000,0
1356,TIFLIS,GRANT CO.,WA,2017-03-11,12:00:00 PM,PST-8,Flood,0,0,50000,0
1357,ELLENSBURG,KITTITAS CO.,WA,2017-03-13,10:15:00 AM,PST-8,Flood,0,0,0,0
1358,TIETON,YAKIMA CO.,WA,2017-03-14,10:00:00 AM,PST-8,Flood,0,0,0,0
1359,LOWDEN,WALLA WALLA CO.,WA,2017-03-16,9:30:00 AM,PST-8,Flood,0,0,0,0
1360,BRACE,YAKIMA CO.,WA,2017-03-16,10:23:00 AM,PST-8,Flood,0,0,0,0
1361,MAZAMA ARPT,OKANOGAN CO.,WA,2017-04-04,12:00:00 AM,PST-8,Flood,0,0,4000000,0
1362,MAZAMA ARPT,OKANOGAN CO.,WA,2017-05-01,12:00:00 AM,PST-8,Flood,0,0,50000,0
1363,NACHES,YAKIMA CO.,WA,2017-05-05,5:30:00 AM,PST-8,Flood,0,0,0,0
1364,OROVILLE,OKANOGAN CO.,WA,2017-05-23,7:30:00 AM,PST-8,Flood,0,0,3000,0
1365,EAST SLOPES NORTHERN CAS...,EAST SLOPES NORTHERN CAS...,WA,2017-05-23,12:00:00 PM,PST-8,Wildfire,0,0,100000,0
1366,STEHEKIN,CHELAN CO.,WA,2017-05-23,5:00:00 PM,PST-8,Flood,0,0,5000,0
1367,NACHES,YAKIMA CO.,WA,2017-05-30,6:15:00 AM,PST-8,Flood,0,0,0,0
1368,MAZAMA,OKANOGAN CO.,WA,2017-05-31,8:30:00 AM,PST-8,Flood,0,0,1000,0
1369,OROVILLE,OKANOGAN CO.,WA,2017-06-01,12:00:00 AM,PST-8,Flood,0,0,5000,0
1370,STEHEKIN,CHELAN CO.,WA,2017-06-01,12:00:00 AM,PST-8,Flood,0,0,2000,0
