Year,Month,Average Temperature
1900,May,35.93875
1900,Nov,28.146666666666665
1900,Oct,35.57
1900,Sep,36.176249999999996
1901,Apr,32.815
1901,Aug,37.861428571428576
1901,Dec,28.6625
1901,Feb,26.019
1901,Jan,23.0825
1901,Jul,48.045
1901,Jun,40.37
1901,Mar,27.511249999999997
1901,May,39.483
1901,Nov,33.37714285714286
1901,Oct,46.94857142857143
1901,Sep,32.94857142857143
1902,Apr,30.308
1902,Aug,31.92375
1902,Dec,27.534444444444446
1902,Feb,32.343333333333334
1902,Jan,22.35
1902,Jul,35.22
1902,Jun,36.055
1902,Mar,29.223333333333333
1902,May,33.847
1902,Nov,27.466
1902,Oct,34.882222222222225
1902,Sep,31.862222222222222
1903,Apr,32.991
1903,Aug,42.428333333333335
1903,Dec,24.573333333333334
1903,Feb,22.451
1903,Jan,21.76125
1903,Jul,39.72818181818182
1903,Jun,40.29090909090909
1903,Mar,27.360909090909093
1903,May,36.339999999999996
1903,Nov,30.543
1903,Oct,34.81916666666667
1903,Sep,41.56545454545455
1904,Apr,34.48888888888889
1904,Aug,45.271
1904,Dec,27.212222222222223
1904,Feb,26.311
1904,Jan,24.372727272727275
1904,Jul,50.91888888888889
1904,Jun,40.121111111111105
1904,Mar,28.301
1904,May,40.49375
1904,Nov,35.31125
1904,Oct,36.705
1904,Sep,39.80777777777777
1905,Apr,31.33230769230769
1905,Aug,41.06909090909091
1905,Dec,22.275833333333335
1905,Feb,21.946363636363635
1905,Jan,25.548000000000002
1905,Jul,42.20363636363636
1905,Jun,35.7975
1905,Mar,30.546363636363637
1905,May,33.0
1905,Nov,22.233636363636364
1905,Oct,30.022727272727273
1905,Sep,35.06
1906,Apr,28.767272727272726
1906,Aug,38.399166666666666
1906,Dec,22.436666666666667
1906,Feb,23.75583333333333
1906,Jan,22.475454545454546
1906,Jul,41.29
1906,Jun,34.82416666666666
1906,Mar,25.156153846153845
1906,May,34.83307692307692
1906,Nov,24.9325
1906,Oct,20.70125
1906,Sep,32.60545454545455
1907,Apr,26.738888888888894
1907,Aug,41.653333333333336
1907,Dec,24.009
1907,Feb,22.128888888888888
1907,Jan,16.17625
1907,Jul,43.54888888888889
1907,Jun,33.22555555555555
1907,Mar,23.145555555555557
1907,May,33.966
1907,Nov,27.54
1907,Oct,37.071
1907,Sep,37.24181818181818
1908,Apr,29.748
1908,Aug,38.314
1908,Dec,21.482307692307693
1908,Feb,22.761666666666667
1908,Jan,21.502499999999998
1908,Jul,36.91090909090909
1908,Jun,33.28666666666666
1908,Mar,24.861818181818183
1908,May,33.105384615384615
1908,Nov,26.08583333333333
1908,Oct,30.790769230769232
1908,Sep,38.67666666666667
1909,Apr,29.269285714285708
1909,Aug,46.20545454545454
1909,Dec,19.595
1909,Feb,24.85
1909,Jan,20.900769230769228
1909,Jul,43.824615384615385
1909,Jun,41.92076923076923
1909,Mar,27.97272727272727
1909,May,34.20214285714285
1909,Nov,29.322
1909,Oct,33.346666666666664
1909,Sep,37.32
1910,Apr,35.61846153846154
1910,Aug,41.50333333333333
1910,Dec,25.0325
1910,Feb,20.669999999999998
1910,Jan,19.300714285714285
1910,Jul,43.461999999999996
1910,Jun,41.818461538461534
1910,Mar,33.343529411764706
1910,May,39.9925
1910,Nov,30.154615384615383
1910,Oct,33.862857142857145
1910,Sep,40.44461538461538
1911,Apr,31.276
1911,Aug,39.650769230769235
1911,Dec,22.721875
1911,Feb,23.31066666666667
1911,Jan,24.114615384615384
1911,Jul,46.18538461538462
1911,Jun,39.09571428571429
1911,Mar,29.666875
1911,May,36.951875
1911,Nov,24.886
1911,Oct,31.327142857142857
1911,Sep,40.53071428571428
1912,Apr,33.605625
1912,Aug,45.496428571428574
1912,Dec,25.00375
1912,Feb,26.1725
1912,Jan,23.194
1912,Jul,43.477333333333334
1912,Jun,44.19
1912,Mar,27.13
1912,May,39.17625
1912,Nov,29.892352941176473
1912,Oct,32.98625
1912,Sep,40.207647058823525
1913,Apr,32.833999999999996
1913,Aug,49.515625
1913,Dec,25.623125
1913,Feb,19.486874999999998
1913,Jan,20.12125
1913,Jul,47.924
1913,Jun,46.278125
1913,Mar,27.46142857142857
1913,May,38.84470588235294
1913,Nov,33.64
1913,Oct,34.92
1913,Sep,44.66411764705882
1914,Apr,38.794999999999995
1914,Aug,52.376875
1914,Dec,21.75315789473684
1914,Feb,26.163125
1914,Jan,29.840000000000003
1914,Jul,49.870625
1914,Jun,45.408235294117645
1914,Mar,32.60266666666667
1914,May,43.55470588235295
1914,Nov,33.190769230769234
1914,Oct,39.430625
1914,Sep,41.63666666666666
1915,Apr,38.207368421052635
1915,Aug,50.49133333333334
1915,Dec,27.352941176470587
1915,Feb,29.696315789473687
1915,Jan,25.01888888888889
1915,Jul,48.4025
1915,Jun,46.462222222222216
1915,Mar,34.35736842105263
1915,May,42.78611111111111
1915,Nov,30.023529411764706
1915,Oct,39.133529411764705
1915,Sep,43.56882352941176
1916,Apr,36.67352941176471
1916,Aug,52.414375
1916,Dec,23.67388888888889
1916,Feb,27.894117647058824
1916,Jan,16.89333333333333
1916,Jul,46.976875
