"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","March 11","March 23","April 19"
"2 yr in 10 later than","March 1","March 14","April 12"
"5 yr in 10 later than","February 10","February 24","March 28"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","November 2","October 22","October 10"
"2 yr in 10 earlier than","November 11","October 29","October 16"
"5 yr in 10 earlier than","November 27","November 11","October 28"
