"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","Insufficient data","June 1","June 23"
"2 yr in 10 later than","Insufficient data","May 25","June 15"
"5 yr in 10 later than","Insufficient data","May 12","June 1"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","September 28","September 11","August 27"
"2 yr in 10 earlier than","October 2","September 16","September 2"
"5 yr in 10 earlier than","October 11","September 25","September 13"
