"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","March 9","April 4","May 4"
"2 yr in 10 later than","February 24","March 22","April 27"
"5 yr in 10 later than","January 31","February 27","April 15"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","November 4","October 29","October 10"
"2 yr in 10 earlier than","November 15","November 8","October 18"
"5 yr in 10 earlier than","December 5","November 27","November 3"
