"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","March 14","April 5","April 20"
"2 yr in 10 later than","March 5","March 28","April 13"
"5 yr in 10 later than","February 17","March 13","April 1"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 27","October 18","October 10"
"2 yr in 10 earlier than","November 6","October 26","October 15"
"5 yr in 10 earlier than","November 25","November 12","October 25"
