"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","Insufficient data","March 31","April 22"
"2 yr in 10 later than","Insufficient data","March 20","April 16"
"5 yr in 10 later than","Insufficient data","February 25","April 4"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","November 9","October 27","October 16"
"2 yr in 10 earlier than","November 20","November 6","October 24"
"5 yr in 10 earlier than","December 11","November 24","November 8"
