"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","April 27","May 8","May 29"
"2 yr in 10 later than","April 19","May 3","May 24"
"5 yr in 10 later than","April 3","April 23","May 13"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 12","October 3","September 21"
"2 yr in 10 earlier than","October 17","October 6","September 24"
"5 yr in 10 earlier than","October 27","October 14","September 30"
