"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","May 11","May 25","June 15"
"2 yr in 10 later than","May 5","May 20","June 9"
"5 yr in 10 later than","April 23","May 10","May 28"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","September 27","September 16","August 30"
"2 yr in 10 earlier than","October 2","September 20","September 4"
"5 yr in 10 earlier than","October 11","September 28","September 13"
