"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","March 26","April 29","May 30"
"2 yr in 10 later than","March 19","April 21","May 20"
"5 yr in 10 later than","March 4","April 5","April 29"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 13","September 28","September 17"
"2 yr in 10 earlier than","October 24","October 7","September 24"
"5 yr in 10 earlier than","November 12","October 23","October 8"
