"Probability","24F or lower","28F or lower","32F or lower"
"Last freezing temperature in spring:","","",""
"1 yr in 10 later than","Insufficient data","May 17","June 3"
"2 yr in 10 later than","Insufficient data","May 10","May 29"
"5 yr in 10 later than","Insufficient data","April 28","May 19"
"First freezing temperature in fall:","","",""
"1 yr in 10 earlier than","October 17","October 9","September 26"
"2 yr in 10 earlier than","October 25","October 15","October 1"
"5 yr in 10 earlier than","November 9","October 26","October 11"
