"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1961-1962","0.0","0.0","0.0","M","M","34.0","15.1","M","M","0.0","0.0","0.0","M"
"1962-1963","0.0","0.0","0.0","0.0","0.0","1.5","M","M","0.0","0.0","0.0","0.0","M"
"1963-1964","0.0","0.0","0.0","0.0","0.5","M","25.0","0.8","5.0","0.0","0.0","0.0","M"
"1964-1965","0.0","0.0","0.0","0.0","5.5","40.0","35.0","10.5","1.0","0.0","T","0.0","92.0"
"1965-1966","0.0","0.0","0.0","0.0","7.5","24.5","23.5","5.0","5.5","T","0.0","0.0","66.0"
"1966-1967","0.0","0.0","0.0","0.0","3.0","11.0","24.0","5.0","4.0","0.0","0.0","0.0","47.0"
"1967-1968","0.0","0.0","0.0","T","8.0","18.0","19.0","4.0","2.0","T","0.0","0.0","51.0"
"1968-1969","0.0","0.0","0.0","0.0","9.0","42.0","48.5","11.5","T","T","0.0","0.0","111.0"
"1969-1970","0.0","0.0","0.0","0.0","0.5","9.5","29.5","2.0","2.5","4.0","0.0","0.0","48.0"
"1970-1971","0.0","0.0","0.0","0.0","7.5","38.5","17.0","17.0","7.0","0.0","0.0","0.0","87.0"
"1971-1972","0.0","0.0","0.0","1.0","10.0","38.0","18.0","6.0","5.0","T","0.0","0.0","78.0"
"1972-1973","0.0","0.0","0.0","1.0","7.0","7.0","14.0","3.0","0.0","T","0.0","0.0","32.0"
"1973-1974","0.0","0.0","0.0","0.0","33.5","19.0","16.0","8.5","1.5","0.0","0.0","0.0","78.5"
"1974-1975","0.0","0.0","0.0","0.0","3.0","33.0","27.5","28.0","7.0","3.0","0.0","0.0","101.5"
"1975-1976","0.0","0.0","0.0","T","13.0","14.5","26.0","9.0","6.5","0.0","0.0","0.0","69.0"
"1976-1977","0.0","0.0","0.0","0.0","1.0","13.0","10.0","3.0","3.0","0.0","0.0","0.0","30.0"
"1977-1978","0.0","0.0","0.0","0.0","15.0","31.0","21.0","11.5","0.5","0.0","0.0","0.0","79.0"
"1978-1979","0.0","0.0","0.0","0.0","9.0","17.0","12.0","22.0","2.0","T","0.0","0.0","62.0"
"1979-1980","0.0","0.0","0.0","T","1.5","13.1","18.2","10.5","M","0.0","M","M","M"
"1980-1981","M","0.0","0.0","0.0","5.0","M","0.0","1.0","0.0","T","0.0","0.0","M"
"1981-1982","0.0","0.0","0.0","0.0","0.0","M","31.3","9.0","0.0","0.0","0.0","0.0","M"
"1982-1983","0.0","0.0","0.0","0.0","2.6","23.5","14.5","6.0","0.0","0.0","0.0","0.0","46.6"
"1983-1984","0.0","0.0","0.0","0.0","M","12.5","15.0","M","0.0","0.0","0.0","0.0","M"
"1984-1985","0.0","0.0","0.0","0.0","22.5","29.5","1.5","13.5","4.5","M","0.0","0.0","M"
"1985-1986","0.0","0.0","0.0","0.0","5.0","13.0","19.5","15.5","0.0","0.0","0.0","0.0","53.0"
"1986-1987","0.0","0.0","0.0","0.0","6.0","12.0","5.0","3.0","T","0.0","0.0","0.0","26.0"
"1987-1988","0.0","0.0","0.0","0.0","0.5","15.5","7.0","10.0","0.0","0.0","0.0","0.0","33.0"
"1988-1989","0.0","0.0","0.0","0.0","4.0","20.5","8.5","12.0","3.0","0.0","0.0","0.0","48.0"
"1989-1990","0.0","0.0","0.0","0.0","1.0","1.5","12.0","16.0","0.0","0.0","0.0","0.0","30.5"
"1990-1991","0.0","0.0","0.0","0.0","2.5","30.5","20.5","3.0","1.5","0.0","0.0","0.0","58.0"
"1991-1992","0.0","0.0","0.0","0.0","10.5","1.5","14.0","3.0","0.0","0.0","0.0","0.0","29.0"
"1992-1993","0.0","0.0","0.0","0.0","1.5","24.5","19.0","3.5","2.0","0.0","0.0","0.0","50.5"
"1993-1994","0.0","0.0","0.0","0.0","2.6","19.0","5.0","11.0","0.0","0.0","0.0","0.0","37.6"
"1994-1995","0.0","M","0.0","0.0","16.5","13.5","5.5","3.0","0.5","0.0","0.0","0.0","M"
"1995-1996","0.0","0.0","0.0","0.0","8.2","17.1","16.6","5.5","0.5","0.0","0.0","0.0","47.9"
"1996-1997","0.0","0.0","0.0","T","30.0","34.0","16.0","6.5","8.5","0.0","0.0","0.0","95.0"
"1997-1998","0.0","0.0","0.0","0.0","T","11.5","15.0","T","T","0.0","0.0","0.0","26.5"
"1998-1999","0.0","0.0","0.0","0.0","0.0","19.5","7.0","5.0","T","0.0","0.0","0.0","31.5"
"1999-2000","0.0","0.0","0.0","0.0","0.5","10.0","28.0","3.5","T","0.0","0.0","0.0","42.0"
"2000-2001","0.0","0.0","0.0","0.0","6.0","17.5","7.5","8.5","1.5","T","0.0","0.0","M"
"2001-2002","0.0","0.0","0.0","0.0","6.0","19.0","14.0","6.0","7.0","0.0","0.0","0.0","52.0"
"2002-2003","0.0","0.0","0.0","0.0","0.0","20.0","21.0","T","3.0","T","0.0","0.0","44.0"
"2003-2004","0.0","0.0","0.0","0.0","10.0","21.0","26.0","4.0","3.0","0.0","0.0","0.0","64.0"
"2004-2005","0.0","0.0","0.0","T","5.0","17.0","13.0","0.0","1.0","0.0","0.0","0.0","36.0"
"2005-2006","0.0","0.0","0.0","0.0","6.0","7.0","5.0","1.0","1.5","0.0","0.0","0.0","20.5"
"2006-2007","0.0","0.0","0.0","T","8.5","16.0","15.5","8.5","0.5","1.0","0.0","M","M"
"2007-2008","0.0","0.0","0.0","0.0","4.3","M","22.5","5.8","1.1","T","0.0","0.0","M"
"2008-2009","0.0","0.0","0.0","0.0","0.3","42.1","13.0","6.0","0.2","1.2","0.0","0.0","M"
"2009-2010","0.0","0.0","0.0","0.1","0.5","M","M","T","0.0","0.0","0.0","M","M"
"2010-2011","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2011-2012","M","M","M","M","M","8.7","12.4","13.4","4.7","0.0","M","M","M"
"2012-2013","M","M","M","M","M","17.2","12.1","1.0","1.0","0.0","0.0","M","M"
"2013-2014","0.0","M","M","0.0","1.1","9.3","9.3","10.1","3.2","0.0","0.0","0.0","M"
"2014-2015","0.0","0.0","0.0","0.0","7.1","5.7","15.2","2.6","T","0.0","0.0","0.0","M"
"2015-2016","0.0","M","0.0","0.0","4.6","10.6","8.1","2.5","T","0.0","0.0","0.0","M"
"2016-2017","M","0.0","M","M","M","16.7","8.6","21.8","0.7","0.0","M","M","M"
"2017-2018","M","M","M","M","M","14.6","13.4","10.1","T","0.0","0.0","M","M"
"2018-2019","M","M","M","M","M","14.5","3.3","22.8","5.5","0.0","0.0","0.0","M"
"2019-2020","0.0","0.0","0.0","T","T","18.3","32.5","7.3","0.4","0.3","0.0","0.0","58.8"
"2020-2021","0.0","0.0","0.0","5.5","7.7","17.6","8.3","13.4","0.3","T","0.0","0.0","52.8"
"2021-2022","0.0","0.0","0.0","0.0","7.0","18.7","18.4","8.3","3.7","0.0","0.0","0.0","56.1"
