"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1966-1967","0.0","0.0","0.0","7.0","0.5","31.5","65.0","55.0","25.0","14.0","0.0","0.0","198.0"
"1967-1968","0.0","0.0","0.0","0.0","5.5","28.5","55.0","3.0","3.5","21.3","4.0","0.0","120.8"
"1968-1969","0.0","0.0","0.0","0.0","16.0","82.0","117.0","31.5","4.5","3.0","T","0.0","254.0"
"1969-1970","0.0","0.0","0.0","0.0","6.0","25.0","45.0","16.0","10.0","14.0","0.0","0.0","116.0"
"1970-1971","0.0","0.0","0.0","1.0","31.8","44.5","103.0","31.5","35.0","1.0","6.6","0.0","254.4"
"1971-1972","0.0","0.0","0.0","6.0","3.0","109.0","99.5","21.0","20.0","39.0","0.0","0.0","297.5"
"1972-1973","0.0","0.0","1.5","10.0","5.0","M","19.0","4.3","9.0","10.5","T","T","M"
"1973-1974","0.0","0.0","0.0","T","59.5","39.0","46.4","51.3","43.5","18.9","8.5","0.0","267.1"
"1974-1975","0.0","0.0","0.0","0.0","1.0","48.0","74.2","34.5","40.3","15.5","4.3","0.0","217.8"
"1975-1976","0.0","0.0","0.0","4.0","46.5","24.5","47.6","74.0","63.0","11.5","0.0","0.0","271.1"
"1976-1977","0.0","0.0","0.0","0.0","T","4.5","7.5","11.0","61.7","1.8","1.5","0.0","88.0"
"1977-1978","0.0","0.0","0.0","0.0","9.5","32.0","6.2","8.5","13.9","9.9","2.5","0.0","82.5"
"1978-1979","0.0","0.0","0.0","M","M","41.5","M","67.0","5.8","15.5","0.5","0.0","M"
"1979-1980","T","0.0","0.0","0.0","10.0","12.0","62.5","13.5","44.3","14.0","0.0","0.0","156.3"
"1980-1981","0.0","0.0","0.0","0.0","3.0","31.0","4.0","5.1","1.0","26.0","0.0","0.0","70.1"
"1981-1982","0.0","0.0","0.0","T","7.5","48.5","66.0","22.5","21.6","29.8","T","0.0","M"
"1982-1983","0.0","0.0","0.0","1.0","12.0","27.5","10.0","4.0","2.0","9.5","3.0","0.0","69.0"
"1983-1984","0.0","0.0","0.0","0.0","17.0","30.8","4.8","19.5","2.5","12.5","2.5","0.0","89.6"
"1984-1985","0.0","0.0","T","13.5","23.0","79.8","T","51.5","30.0","15.3","0.3","0.0","213.4"
"1985-1986","0.0","0.0","0.0","1.0","48.9","6.8","12.0","17.5","2.0","9.9","T","0.0","M"
"1986-1987","0.0","0.0","0.0","0.0","8.1","1.2","27.1","9.5","11.0","7.1","0.0","0.0","64.0"
"1987-1988","0.0","0.0","0.0","0.0","5.3","28.5","29.9","18.3","46.5","13.8","4.0","0.0","146.3"
"1988-1989","0.0","0.0","0.0","0.0","21.7","19.9","62.6","23.0","27.0","9.0","0.0","0.0","163.2"
"1989-1990","0.0","0.0","0.0","0.0","15.5","0.8","73.4","103.1","12.5","5.0","0.5","0.0","210.8"
"1990-1991","0.0","0.0","0.0","0.0","22.0","52.5","10.5","4.0","22.0","18.0","1.0","0.0","130.0"
"1991-1992","0.0","0.0","0.0","5.5","8.0","9.5","4.0","4.0","0.0","10.5","0.0","0.0","41.5"
"1992-1993","0.0","0.0","0.0","0.0","4.5","57.5","19.5","5.0","T","7.0","0.0","0.0","93.5"
"1993-1994","0.0","0.0","0.0","0.0","11.0","2.5","7.0","67.5","25.0","3.0","0.0","0.0","116.0"
"1994-1995","0.0","0.0","0.0","1.0","68.0","33.0","2.5","14.5","12.0","11.0","0.0","0.0","142.0"
"1995-1996","0.0","0.0","0.0","T","1.5","3.5","70.0","25.5","5.0","3.0","0.5","0.0","109.0"
"1996-1997","0.0","0.0","0.0","8.0","22.0","79.0","30.0","21.0","44.0","8.5","1.0","0.0","213.5"
"1997-1998","0.0","0.0","0.0","0.0","6.5","20.5","47.0","16.0","14.0","2.0","0.0","0.0","106.0"
"1998-1999","0.0","0.0","0.0","0.0","9.0","54.5","47.5","57.0","49.5","12.5","12.5","0.0","M"
"1999-2000","0.0","0.0","0.0","0.0","4.0","27.0","69.5","10.0","15.5","3.0","0.5","0.0","M"
"2000-2001","0.0","0.0","0.0","0.0","7.0","12.0","23.0","12.0","11.0","16.5","3.5","0.0","85.0"
"2001-2002","0.0","0.0","0.0","T","16.5","47.5","81.0","22.0","76.5","16.0","7.0","T","266.5"
"2002-2003","0.0","0.0","0.0","0.0","0.0","21.0","0.0","6.5","37.5","23.0","5.0","0.0","93.0"
"2003-2004","0.0","0.0","0.0","M","41.0","48.0","45.0","15.0","18.0","0.0","0.0","0.0","M"
"2004-2005","0.0","0.0","0.0","0.5","8.0","6.0","14.5","10.5","10.5","3.5","0.0","0.0","53.5"
"2005-2006","0.0","0.0","0.0","0.0","30.5","18.5","M","18.5","30.5","5.5","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","62.0","12.5","M","34.5","M","5.0","0.0","0.0","M"
"2007-2008","0.0","0.0","0.0","0.0","M","91.5","61.5","M","M","M","M","2.5","M"
"2008-2009","0.0","0.0","0.0","0.0","2.5","M","60.5","11.0","82.0","M","M","0.0","M"
"2009-2010","M","0.0","0.0","M","M","M","M","0.0","M","M","7.0","0.0","M"
"2010-2011","0.0","0.0","0.0","2.0","M","26.5","19.5","65.0","M","33.5","M","M","M"
"2011-2012","M","M","M","M","29.7","M","M","M","M","2.8","M","M","M"
"2012-2013","0.0","M","M","M","M","M","M","M","M","19.3","M","M","M"
"2013-2014","M","M","M","M","M","M","M","45.0","11.5","M","M","M","M"
"2014-2015","M","M","M","M","M","10.0","M","M","M","10.0","M","0.0","M"
"2015-2016","0.0","0.0","0.0","M","M","M","M","9.1","M","0.0","M","0.0","M"
"2016-2017","0.0","0.0","0.0","M","M","M","25.2","M","M","1.0","2.5","0.0","M"
"2017-2018","0.0","0.0","0.0","M","21.0","M","27.0","49.8","13.3","10.2","M","0.0","M"
"2018-2019","0.0","0.0","0.0","M","M","M","M","M","16.5","M","M","0.0","M"
"2019-2020","0.0","0.0","T","2.0","M","M","M","44.7","M","4.0","M","0.0","M"
"2020-2021","0.0","0.0","M","M","M","M","M","83.5","19.0","M","M","0.0","M"
"2021-2022","0.0","0.0","0.0","M","M","100.9","31.5","28.5","6.0","M","M","0.0","M"
