"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1957-1958","0.0","0.0","0.0","3.2","2.8","12.8","14.6","6.1","1.3","0.3","0.0","0.0","41.1"
"1958-1959","0.0","0.0","0.0","1.8","9.0","12.6","21.6","17.6","4.1","0.0","0.0","0.0","66.7"
"1959-1960","0.0","0.0","0.0","1.0","8.4","16.3","12.5","7.7","1.9","M","T","0.0","M"
"1960-1961","0.0","0.0","0.0","0.0","8.3","8.6","5.0","14.7","6.4","1.5","0.0","0.0","44.5"
"1961-1962","0.0","0.0","0.0","0.0","8.1","27.8","14.6","12.5","18.9","0.0","0.0","0.0","81.9"
"1962-1963","0.0","0.0","0.0","0.0","3.5","6.8","0.3","3.4","2.1","1.6","T","0.0","17.7"
"1963-1964","0.0","0.0","0.0","0.0","7.1","19.0","26.1","4.1","10.0","0.1","0.0","0.0","66.4"
"1964-1965","0.0","0.0","0.0","0.0","11.4","29.8","47.3","2.1","0.9","0.8","0.0","0.0","92.3"
"1965-1966","0.0","0.0","0.0","0.0","4.7","25.4","21.8","2.7","8.3","0.0","0.0","0.0","62.9"
"1966-1967","0.0","0.0","0.0","0.4","1.2","10.1","12.7","3.6","7.8","0.0","0.0","0.0","35.8"
"1967-1968","0.0","0.0","0.0","0.0","4.0","31.2","18.5","2.7","0.4","0.0","1.0","0.0","57.8"
"1968-1969","0.0","0.0","0.0","0.0","8.4","28.1","42.4","25.6","3.8","4.9","0.0","0.0","113.2"
"1969-1970","0.0","0.0","0.0","0.4","T","15.7","20.6","1.9","1.4","1.5","0.0","0.0","41.5"
"1970-1971","0.0","0.0","0.0","0.0","7.1","42.7","14.5","10.0","11.4","0.0","0.0","0.0","85.7"
"1971-1972","0.0","0.0","0.0","0.9","6.2","37.9","13.2","4.8","2.5","3.5","0.0","0.0","69.0"
"1972-1973","0.0","0.0","0.0","0.0","8.5","6.1","8.7","13.0","T","0.6","0.0","0.0","36.9"
"1973-1974","0.0","0.0","0.0","0.1","30.5","17.7","7.1","17.7","2.7","M","0.0","0.0","M"
"1974-1975","0.0","0.0","0.0","0.0","2.4","21.1","14.8","15.3","T","0.0","0.0","0.0","53.6"
"1975-1976","0.0","0.0","0.0","2.0","11.9","8.0","11.9","9.0","8.3","0.0","0.0","0.0","51.1"
"1976-1977","0.0","0.0","0.0","0.0","T","9.3","6.7","2.0","3.5","0.0","0.0","0.0","21.5"
"1977-1978","0.0","0.0","0.0","0.0","5.2","17.4","17.8","6.5","0.0","0.0","0.0","0.0","46.9"
"1978-1979","0.0","0.0","0.0","0.0","6.2","7.9","8.1","12.6","T","0.0","M","0.0","M"
"1979-1980","0.0","0.0","0.0","0.0","3.8","10.0","15.8","8.9","6.9","0.0","0.0","0.0","45.4"
"1980-1981","0.0","0.0","0.0","0.0","2.0","22.1","4.8","1.1","0.0","0.0","0.0","0.0","30.0"
"1981-1982","0.0","0.0","0.0","0.0","2.5","14.4","21.5","2.2","1.5","0.0","0.0","0.0","M"
"1982-1983","0.0","0.0","0.0","0.0","8.8","17.2","12.4","2.9","0.0","0.0","0.0","0.0","M"
"1983-1984","0.0","0.0","0.0","0.0","3.6","28.1","7.7","1.3","0.0","1.5","0.0","0.0","M"
"1984-1985","0.0","0.0","0.0","5.0","22.9","15.1","3.3","12.3","6.3","0.0","0.0","0.0","M"
"1985-1986","0.0","0.0","0.0","0.5","7.1","10.2","18.1","11.1","0.0","3.5","0.0","0.0","50.5"
"1986-1987","0.0","0.0","0.0","0.0","2.0","12.3","14.6","2.6","0.8","0.0","0.0","0.0","32.3"
"1987-1988","0.0","0.0","0.0","0.0","1.2","10.2","6.0","T","3.6","0.0","0.5","0.0","M"
"1988-1989","0.0","0.0","0.0","0.0","3.2","M","4.1","13.5","3.7","0.2","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","0.0","3.5","1.2","7.4","11.6","2.3","0.6","0.0","0.0","26.6"
"1990-1991","0.0","0.0","0.0","0.0","2.9","8.3","15.1","T","9.3","0.0","0.0","0.0","35.6"
"1991-1992","0.0","0.0","0.0","3.0","9.7","5.8","11.2","3.7","0.0","0.0","0.0","0.0","33.4"
"1992-1993","0.0","0.0","0.0","0.0","10.2","23.2","15.6","7.2","1.2","0.0","0.0","0.0","57.4"
"1993-1994","0.0","0.0","0.0","0.0","0.9","22.5","4.1","2.1","1.0","0.0","0.0","0.0","30.6"
"1994-1995","0.0","0.0","0.0","0.8","17.5","6.5","8.8","2.8","0.0","0.0","0.0","0.0","M"
"1995-1996","0.0","0.0","0.0","0.0","14.3","20.6","16.7","6.7","1.2","0.0","0.0","0.0","59.5"
"1996-1997","0.0","0.0","0.0","0.0","21.5","41.7","9.7","3.0","2.2","0.0","0.0","0.0","78.1"
"1997-1998","0.0","0.0","0.0","0.0","3.6","7.0","27.3","0.5","0.9","0.0","0.0","0.0","39.3"
"1998-1999","0.0","0.0","0.0","0.0","1.9","19.9","6.4","12.8","2.5","0.0","0.0","0.0","M"
"1999-2000","0.0","0.0","0.0","0.0","0.5","4.5","20.9","1.4","2.7","0.0","0.0","0.0","30.0"
"2000-2001","0.0","0.0","0.0","0.0","7.2","16.2","8.3","3.7","2.8","0.0","0.0","0.0","38.2"
"2001-2002","0.0","0.0","0.0","0.3","7.4","28.6","7.9","4.8","3.4","0.0","0.0","0.0","52.4"
"2002-2003","0.0","0.0","0.0","0.0","0.0","22.7","15.1","0.0","0.0","0.0","0.0","0.0","37.8"
"2003-2004","0.0","0.0","0.0","0.0","2.0","21.2","15.5","3.7","1.8","0.0","0.0","0.0","44.2"
"2004-2005","0.0","0.0","0.0","0.0","1.4","15.8","12.7","0.0","0.7","0.0","0.0","0.0","30.6"
"2005-2006","0.0","0.0","0.0","0.0","10.2","15.8","12.7","1.6","3.5","0.0","0.0","0.0","43.8"
"2006-2007","0.0","0.0","0.0","0.0","16.0","19.1","4.2","5.2","1.2","0.0","0.0","0.0","45.7"
"2007-2008","0.0","0.0","0.0","0.0","T","M","M","4.4","7.5","0.0","0.0","0.0","M"
"2008-2009","0.0","0.0","0.0","0.0","2.6","32.4","13.3","18.0","M","6.0","0.0","0.0","M"
"2009-2010","0.0","0.0","0.0","2.0","2.9","11.3","19.0","4.3","2.0","1.0","1.0","0.0","43.5"
"2010-2011","0.0","0.0","0.0","0.0","12.0","20.5","6.0","6.4","7.0","3.0","0.0","0.0","54.9"
"2011-2012","0.0","0.0","0.0","0.0","21.6","3.3","12.9","22.0","12.3","1.0","0.0","M","M"
"2012-2013","0.0","0.0","M","3.0","9.5","37.2","16.1","2.9","4.5","1.8","0.0","0.0","M"
"2013-2014","T","0.0","0.0","0.0","7.5","5.0","8.7","20.0","7.5","0.8","0.0","0.0","49.5"
"2014-2015","0.0","0.0","0.0","0.0","M","9.3","14.8","7.0","1.0","T","0.0","0.0","M"
"2015-2016","0.0","M","0.0","0.0","4.5","28.1","23.9","1.2","2.0","T","0.0","0.0","M"
"2016-2017","0.0","0.0","M","M","M","M","M","M","M","M","M","M","M"
"2017-2018","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2018-2019","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2019-2020","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2020-2021","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2021-2022","M","M","0.0","0.0","5.7","M","M","3.9","0.0","T","0.0","0.0","M"
