"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1961-1962","0.0","0.0","0.0","0.0","11.5","25.5","11.0","2.5","16.5","T","0.0","0.0","67.0"
"1962-1963","0.0","0.0","0.0","0.0","4.5","T","3.1","7.7","2.4","0.5","0.0","0.0","18.2"
"1963-1964","0.0","0.0","0.0","0.0","T","14.5","22.6","2.5","5.6","3.5","0.0","0.0","48.7"
"1964-1965","0.0","0.0","0.0","0.0","13.9","32.5","M","M","M","M","M","M","M"
"1965-1966","0.0","0.0","0.0","0.0","M","M","18.0","T","8.0","M","M","0.0","M"
"1966-1967","0.0","0.0","0.0","T","T","8.0","3.2","2.8","2.5","T","T","0.0","16.5"
"1967-1968","0.0","0.0","0.0","M","M","M","M","M","M","M","0.0","0.0","M"
"1968-1969","0.0","0.0","0.0","0.0","T","M","53.8","5.8","4.0","T","0.0","0.0","M"
"1969-1970","0.0","0.0","0.0","0.0","T","9.6","13.8","2.5","6.0","T","0.0","0.0","31.9"
"1970-1971","0.0","0.0","0.0","T","4.7","15.0","9.1","5.5","2.0","0.0","0.0","0.0","36.3"
"1971-1972","0.0","0.0","0.0","M","4.2","32.7","13.2","5.0","2.4","T","0.0","0.0","M"
"1972-1973","0.0","0.0","0.0","1.2","T","7.1","8.9","4.6","T","0.0","0.0","0.0","21.8"
"1973-1974","0.0","0.0","0.0","0.0","28.3","5.5","9.0","3.0","0.5","T","T","0.0","46.3"
"1974-1975","0.0","0.0","0.0","0.0","T","12.9","19.5","21.3","3.4","3.0","T","0.0","60.1"
"1975-1976","0.0","M","0.0","1.5","6.6","8.9","11.1","4.5","3.5","T","0.0","0.0","M"
"1976-1977","0.0","0.0","0.0","0.0","0.0","4.0","4.9","T","4.6","0.0","0.0","0.0","13.5"
"1977-1978","0.0","0.0","0.0","0.0","8.2","25.6","9.5","9.0","5.5","0.0","0.0","0.0","57.8"
"1978-1979","0.0","0.0","0.0","0.0","6.6","11.4","10.3","7.2","T","T","0.0","0.0","35.5"
"1979-1980","0.0","0.0","0.0","0.0","7.0","12.8","12.4","M","2.0","T","0.0","M","M"
"1980-1981","0.0","0.0","0.0","0.0","0.4","6.6","2.2","1.0","0.0","0.0","0.0","0.0","10.2"
"1981-1982","0.0","0.0","0.0","0.0","0.0","M","25.0","1.0","1.0","1.0","0.0","0.0","M"
"1982-1983","0.0","0.0","M","T","3.0","15.0","8.3","5.5","0.0","0.0","0.0","0.0","M"
"1983-1984","0.0","0.0","0.0","0.0","3.5","17.7","4.9","5.0","0.0","T","0.0","0.0","31.1"
"1984-1985","0.0","0.0","0.0","T","10.7","M","3.3","13.2","5.0","T","M","M","M"
"1985-1986","0.0","0.0","0.0","1.0","20.3","4.0","14.0","M","0.0","1.0","0.0","0.0","M"
"1986-1987","0.0","0.0","M","0.0","2.5","6.5","11.1","M","T","0.0","0.0","0.0","M"
"1987-1988","0.0","0.0","0.0","0.0","T","14.5","7.5","T","3.0","0.0","0.0","0.0","25.0"
"1988-1989","0.0","0.0","0.0","0.0","M","9.1","6.1","13.5","5.4","0.0","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","M","5.0","0.5","6.0","16.0","T","M","M","0.0","M"
"1990-1991","0.0","0.0","0.0","0.0","T","11.0","8.0","T","2.0","0.0","0.0","0.0","M"
"1991-1992","0.0","0.0","0.0","T","M","2.0","6.5","0.2","0.0","0.0","0.0","0.0","M"
"1992-1993","0.0","0.0","0.0","0.0","M","22.0","9.5","10.0","1.0","T","0.0","0.0","M"
"1993-1994","0.0","0.0","0.0","0.0","T","M","0.0","3.0","0.0","0.0","0.0","0.0","M"
"1994-1995","0.0","0.0","0.0","0.0","M","3.5","4.0","3.0","2.0","0.0","0.0","0.0","M"
"1995-1996","0.0","0.0","0.0","0.0","6.0","4.0","M","0.0","0.0","0.0","0.0","M","M"
"1996-1997","0.0","0.0","0.0","3.0","15.0","M","4.0","10.0","M","0.0","0.0","0.0","M"
"1997-1998","M","0.0","0.0","0.0","1.3","5.8","9.6","0.3","0.5","0.0","0.0","0.0","M"
"1998-1999","0.0","0.0","0.0","0.0","T","8.0","7.3","7.0","0.6","2.0","0.0","0.0","24.9"
"1999-2000","M","0.0","0.0","0.0","0.5","4.2","16.3","6.2","2.5","0.0","0.0","0.0","M"
"2000-2001","0.0","0.0","0.0","0.0","10.5","10.0","M","7.9","1.5","0.0","0.0","0.0","M"
"2001-2002","0.0","0.0","0.0","0.0","4.9","17.2","3.5","7.2","6.8","0.0","M","0.0","M"
"2002-2003","0.0","0.0","0.0","0.0","0.0","7.2","7.8","0.0","1.0","T","0.0","0.0","16.0"
"2003-2004","0.0","0.0","0.0","0.0","10.5","7.6","20.4","9.8","2.2","0.0","0.0","0.0","50.5"
