"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1936-1937","M","M","M","M","M","3.0","M","M","0.0","T","M","0.0","M"
"1937-1938","M","M","M","M","M","2.5","M","5.0","M","M","M","0.0","M"
"1938-1939","M","M","M","M","M","2.8","M","M","1.5","M","M","M","M"
"1939-1940","M","M","M","M","M","M","M","1.5","M","M","M","M","M"
"1940-1941","M","M","M","0.0","6.8","M","6.0","2.0","M","M","M","M","M"
"1941-1942","M","M","M","M","1.2","M","M","3.5","T","M","M","M","M"
"1942-1943","M","M","M","M","4.3","10.0","M","2.5","T","0.0","0.0","0.0","M"
"1943-1944","0.0","0.0","0.0","0.0","0.0","T","1.2","3.4","0.0","0.0","0.0","0.0","4.6"
"1944-1945","0.0","0.0","0.0","0.0","T","T","1.0","2.0","T","T","0.0","0.0","3.0"
"1945-1946","0.0","0.0","0.0","0.0","1.5","4.0","T","1.7","0.0","0.0","0.0","0.0","7.2"
"1946-1947","0.0","0.0","0.0","0.0","4.0","1.5","M","0.0","M","1.0","0.0","0.0","M"
"1947-1948","0.0","0.0","0.0","0.0","0.0","T","0.5","2.0","0.0","T","0.0","0.0","2.5"
"1948-1949","0.0","0.0","0.0","0.0","1.0","12.9","M","8.5","T","0.0","0.0","0.0","M"
"1949-1950","0.0","0.0","0.0","0.0","0.0","3.8","39.5","4.5","T","M","0.0","0.0","M"
"1950-1951","0.0","0.0","0.0","0.0","T","M","M","M","M","0.0","0.0","0.0","M"
"1951-1952","0.0","0.0","0.0","0.0","T","12.0","10.5","1.2","T","0.0","T","0.0","23.7"
"1952-1953","0.0","0.0","0.0","0.0","0.0","M","0.5","T","T","T","T","0.0","M"
"1953-1954","0.0","0.0","0.0","0.0","0.0","T","M","1.0","T","0.0","0.0","T","M"
"1954-1955","0.0","0.0","0.0","0.0","0.0","T","M","7.0","T","T","T","0.0","M"
"1955-1956","0.0","0.0","0.0","0.0","11.1","15.8","11.0","7.5","0.5","0.0","0.0","0.0","45.9"
"1956-1957","M","0.0","0.0","T","T","1.0","12.0","2.5","1.0","T","0.0","0.0","M"
"1957-1958","0.0","0.0","0.0","0.0","0.0","M","T","0.0","T","0.0","0.0","0.0","M"
"1958-1959","0.0","0.0","0.0","0.0","T","T","9.8","9.1","T","0.0","0.0","0.0","18.9"
"1959-1960","0.0","0.0","0.0","0.0","T","1.0","6.0","T","2.0","0.0","0.0","0.0","9.0"
"1960-1961","0.0","0.0","0.0","0.0","1.0","5.0","4.0","3.0","T","0.5","0.0","0.0","13.5"
"1961-1962","0.0","0.0","0.0","0.0","4.5","5.7","T","0.5","2.2","0.0","0.0","0.0","12.9"
"1962-1963","0.0","0.0","0.0","0.0","T","T","3.0","5.0","T","T","0.0","0.0","8.0"
"1963-1964","0.0","0.0","0.0","0.0","0.0","4.7","6.6","0.5","T","T","T","0.0","11.8"
"1964-1965","0.0","0.0","0.0","0.0","1.7","M","M","T","T","0.0","0.0","0.0","M"
"1965-1966","0.0","0.0","0.0","0.0","1.0","5.0","3.2","1.0","T","0.0","0.0","0.0","10.2"
"1966-1967","0.0","0.0","0.0","0.0","T","1.0","1.0","1.0","0.3","0.0","0.0","0.0","3.3"
"1967-1968","0.0","0.0","0.0","0.0","0.0","3.8","M","0.0","0.0","T","0.0","0.0","M"
"1968-1969","0.0","0.0","0.0","0.0","0.0","8.0","22.2","2.4","T","0.0","0.0","0.0","32.6"
"1969-1970","0.0","0.0","0.0","0.0","0.0","3.6","5.4","T","2.0","0.3","0.0","0.0","11.3"
"1970-1971","0.0","0.0","0.0","0.0","0.1","1.4","2.5","0.3","T","0.0","0.0","0.0","4.3"
"1971-1972","0.0","0.0","0.0","0.5","0.0","16.4","3.0","4.2","T","0.0","0.0","0.0","24.1"
"1972-1973","0.0","0.0","0.0","0.0","0.0","7.1","5.9","5.0","0.0","0.0","0.0","0.0","18.0"
"1973-1974","0.0","0.0","0.0","0.3","7.1","6.3","2.9","0.0","0.0","0.0","0.0","0.0","16.6"
"1974-1975","0.0","0.0","0.0","0.0","0.0","0.2","2.6","7.1","0.0","0.0","0.0","0.0","9.9"
"1975-1976","0.0","0.0","0.0","0.0","1.0","4.3","3.8","T","0.0","0.0","0.0","0.0","9.1"
"1976-1977","0.0","0.0","0.0","0.0","T","1.3","3.4","T","0.3","0.0","0.0","0.0","5.0"
"1977-1978","0.0","0.0","0.0","0.0","1.3","6.3","3.9","1.0","T","0.0","0.0","0.0","12.5"
"1978-1979","0.0","0.0","0.0","0.0","10.2","3.6","15.7","1.2","0.0","0.0","0.0","0.0","30.7"
"1979-1980","0.0","0.0","0.0","0.0","0.5","T","7.6","1.7","0.5","0.0","0.0","0.0","10.3"
"1980-1981","0.0","0.0","0.0","0.0","T","1.5","T","0.3","0.0","0.0","0.0","0.0","1.8"
"1981-1982","0.0","0.0","0.0","0.0","0.0","M","11.0","0.3","0.5","0.5","0.0","0.0","M"
"1982-1983","0.0","0.0","0.0","0.0","T","5.6","0.8","M","0.0","0.0","0.0","0.0","M"
"1983-1984","0.0","0.0","0.0","0.0","0.0","15.6","1.0","0.0","0.0","0.0","0.0","0.0","16.6"
"1984-1985","0.0","0.0","0.0","M","0.0","M","M","M","M","0.0","0.0","0.0","M"
"1985-1986","0.0","0.0","0.0","0.0","M","M","M","M","0.0","0.0","0.0","0.0","M"
"1986-1987","0.0","0.0","0.0","0.0","0.0","M","M","0.0","0.0","0.0","0.0","0.0","M"
"1987-1988","0.0","0.0","0.0","0.0","T","4.1","3.3","0.0","0.5","0.0","0.0","0.0","7.9"
"1988-1989","0.0","0.0","0.0","0.0","T","3.1","6.0","13.0","2.5","0.0","0.0","0.0","24.6"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.5","T","8.7","0.0","0.0","0.0","0.0","9.2"
"1990-1991","0.0","0.0","0.0","0.0","0.0","5.8","6.5","T","1.0","0.0","0.0","0.0","13.3"
"1991-1992","0.0","0.0","0.0","T","0.4","M","T","0.0","0.0","0.0","0.0","0.0","M"
"1992-1993","0.0","0.0","0.0","0.0","2.0","8.7","11.1","8.1","3.6","0.0","0.0","0.0","33.5"
"1993-1994","0.0","0.0","0.0","0.0","0.5","0.6","0.0","0.1","0.0","0.0","0.0","0.0","1.2"
"1994-1995","0.0","0.0","0.0","0.0","0.5","2.9","0.3","0.2","T","0.0","0.0","0.0","3.9"
"1995-1996","0.0","M","0.0","0.0","0.0","M","16.6","M","0.4","0.0","0.0","0.0","M"
"1996-1997","0.0","0.0","0.0","0.0","10.5","18.3","2.0","3.6","1.1","0.0","0.0","0.0","35.5"
"1997-1998","0.0","0.0","0.0","0.0","0.0","2.3","4.0","T","0.0","0.0","0.0","0.0","6.3"
"1998-1999","0.0","0.0","0.0","0.0","0.0","2.0","M","T","T","0.0","M","0.0","M"
"1999-2000","0.0","M","0.0","0.0","0.0","M","3.8","0.9","0.8","0.0","0.0","0.0","M"
"2000-2001","0.0","0.0","0.0","0.0","1.7","M","4.8","2.7","0.0","T","0.0","0.0","M"
"2001-2002","0.0","0.0","0.0","M","3.9","5.0","T","T","2.5","0.0","0.8","M","M"
"2002-2003","0.0","0.0","0.0","0.0","0.0","M","3.2","0.0","0.0","0.0","0.0","0.0","M"
"2003-2004","0.0","0.0","0.0","0.0","T","3.0","M","4.7","0.4","0.0","0.0","0.0","M"
"2004-2005","0.0","0.0","0.0","0.0","0.3","1.0","9.0","T","0.0","0.0","0.0","M","M"
"2005-2006","0.0","0.0","0.0","0.0","M","M","M","0.0","M","0.0","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","1.2","1.1","M","0.2","0.0","0.0","M","0.0","M"
"2007-2008","0.0","0.0","0.0","0.0","2.2","2.0","M","4.1","1.1","M","0.0","0.0","M"
