"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1966-1967","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1967-1968","0.0","0.0","0.0","0.0","0.0","M","M","0.0","0.0","0.0","0.0","0.0","0.0"
"1968-1969","0.0","0.0","0.0","0.0","0.0","M","17.0","0.0","0.0","0.0","0.0","0.0","17.0"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","0.0"
"1970-1971","0.0","0.0","0.0","0.0","0.7","M","20.5","7.0","0.0","0.0","0.0","0.0","28.2"
"1971-1972","0.0","0.0","0.0","0.0","0.0","11.0","M","M","0.0","0.0","0.0","0.0","11.0"
"1972-1973","0.0","0.0","0.0","0.0","0.0","M","1.8","0.0","0.0","0.0","0.0","0.0","1.8"
"1973-1974","0.0","0.0","0.0","0.0","3.0","0.0","0.5","0.0","1.0","0.0","0.0","0.0","4.5"
"1974-1975","0.0","0.0","0.0","0.0","0.0","0.0","M","M","T","0.0","0.0","0.0","T"
"1975-1976","0.0","0.0","0.0","0.0","0.0","T","0.0","1.0","M","0.0","0.0","0.0","1.0"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1977-1978","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"1978-1979","0.0","0.0","0.0","0.0","6.5","6.0","M","M","0.0","0.0","0.0","0.0","12.5"
"1979-1980","0.0","0.0","0.0","0.0","0.0","0.0","9.3","T","0.0","0.0","0.0","0.0","9.3"
"1980-1981","0.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","M","M","0.0","M","0.3"
"1981-1982","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","3.0"
"1982-1983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1983-1984","0.0","0.0","0.0","0.0","0.0","1.3","0.0","0.0","0.0","0.0","0.0","0.0","1.3"
"1984-1985","0.0","0.0","0.0","0.0","0.0","13.0","M","2.5","0.0","0.0","0.0","0.0","15.5"
"1985-1986","0.0","0.0","0.0","0.0","3.5","18.0","T","2.5","0.0","0.0","0.0","0.0","24.0"
"1986-1987","0.0","0.0","0.0","0.0","0.0","M","3.5","M","M","0.0","0.0","0.0","3.5"
"1987-1988","0.0","0.0","0.0","0.0","0.0","0.0","T","M","0.0","0.0","M","0.0","T"
"1988-1989","0.0","0.0","0.0","0.0","0.0","0.0","2.0","7.7","1.0","0.0","0.0","0.0","10.7"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","4.0"
"1990-1991","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"1991-1992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1992-1993","0.0","0.0","0.0","0.0","0.0","14.2","17.8","0.0","0.0","0.0","0.0","0.0","32.0"
"1993-1994","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","M","0.0","0.0","0.0","2.0"
"1994-1995","0.0","0.0","0.0","0.0","0.0","T","0.0","8.0","0.0","0.0","0.0","0.0","8.0"
"1995-1996","0.0","0.0","0.0","0.0","0.0","T","M","T","0.0","0.0","0.0","0.0","T"
"1996-1997","0.0","0.0","0.0","0.0","0.0","21.5","0.0","0.0","0.5","0.0","0.0","0.0","22.0"
"1997-1998","0.0","0.0","0.0","0.0","0.0","0.0","4.3","0.0","0.0","0.0","0.0","0.0","4.3"
"1998-1999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1999-2000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2000-2001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.5"
"2001-2002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2002-2003","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2003-2004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2004-2005","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2005-2006","0.0","0.0","M","0.0","0.0","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.9"
"2006-2007","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0"
"2007-2008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.0","0.0","0.0","4.0"
"2008-2009","0.0","0.0","0.0","0.0","0.0","6.0","7.0","2.0","1.3","0.0","M","0.0","16.3"
"2009-2010","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2010-2011","0.0","0.0","0.0","0.0","0.0","0.0","6.0","8.5","M","M","M","M","14.5"
"2011-2012","M","M","M","M","M","M","10.0","M","M","M","M","M","10.0"
"2012-2013","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2013-2014","M","M","M","M","M","1.0","M","M","M","M","M","M","1.0"
"2014-2015","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2015-2016","M","M","M","M","M","M","M","M","M","M","M","M","M"
"2016-2017","M","M","M","M","M","2.5","1.0","4.0","M","M","M","M","7.5"
"2017-2018","M","M","M","M","M","M","M","3.2","M","M","M","M","3.2"
"2018-2019","M","M","M","M","M","M","M","17.2","M","M","M","M","17.2"
"2019-2020","M","M","M","M","M","M","7.0","M","M","M","M","M","7.0"
