"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1940-1941","0.0","0.0","0.0","0.0","14.6","21.6","14.7","0.1","0.0","0.0","0.0","0.0","51.0"
"1941-1942","0.0","0.0","0.0","0.0","0.5","33.0","12.3","12.3","0.0","0.0","0.0","0.0","58.1"
"1942-1943","0.0","0.0","0.0","0.0","25.2","43.3","19.0","18.5","2.0","0.0","M","0.0","M"
"1943-1944","0.0","M","0.0","1.6","T","3.8","6.6","20.9","1.6","0.0","0.0","0.0","M"
"1944-1945","0.0","0.0","0.0","0.0","6.1","4.9","M","18.2","1.6","M","0.0","0.0","M"
"1945-1946","0.0","0.0","0.0","3.1","29.3","32.2","34.3","18.1","M","0.0","0.0","0.0","M"
"1946-1947","0.0","0.0","0.0","1.0","37.3","18.2","15.8","18.5","0.5","M","0.0","0.0","M"
"1947-1948","0.0","M","0.0","0.0","1.5","M","9.5","22.6","2.7","T","0.0","0.0","M"
"1948-1949","0.0","0.0","0.0","0.5","28.8","48.6","5.2","39.8","3.4","0.0","0.0","0.0","126.3"
"1949-1950","0.0","0.0","0.0","0.0","2.8","19.5","24.5","14.7","M","T","0.0","T","M"
"1950-1951","0.0","0.0","0.0","0.5","30.8","18.6","41.5","13.6","25.1","0.0","0.0","0.0","M"
"1951-1952","0.0","0.0","0.0","0.0","12.8","32.9","46.6","13.2","0.6","0.0","0.0","0.0","106.1"
"1952-1953","0.0","0.0","0.0","0.0","T","35.3","46.9","13.1","1.5","0.0","0.0","0.0","96.8"
"1953-1954","0.0","T","0.0","0.0","8.1","13.6","55.8","8.8","4.0","T","0.0","0.0","90.3"
"1954-1955","0.0","0.0","0.0","0.0","1.5","28.4","12.1","14.8","14.2","4.5","0.0","0.0","75.5"
"1955-1956","T","0.0","0.0","4.0","38.7","58.2","31.8","25.4","5.8","0.5","0.0","0.0","M"
"1956-1957","0.0","0.0","0.0","T","11.8","4.3","18.7","9.4","8.4","T","0.0","0.0","M"
"1957-1958","0.0","0.0","0.0","4.1","0.5","34.3","24.9","4.5","0.8","0.0","0.0","0.0","69.1"
"1958-1959","0.0","0.0","0.0","M","28.8","19.7","37.9","28.0","1.7","0.0","T","0.0","M"
"1959-1960","0.0","0.0","0.0","1.8","6.5","6.6","12.0","21.8","7.5","T","0.0","0.0","56.2"
"1960-1961","0.0","0.0","0.0","T","19.9","7.6","16.3","16.8","13.3","0.0","0.0","0.0","73.9"
"1961-1962","0.0","0.0","0.0","1.2","16.0","33.2","3.6","4.2","6.6","3.6","0.0","0.0","68.4"
"1962-1963","0.0","0.0","0.0","0.0","8.9","14.6","0.3","4.0","T","0.0","0.0","0.0","27.8"
