"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1950-1951","0.0","0.0","0.0","0.0","0.0","0.0","M","M","M","0.0","0.0","0.0","M"
"1951-1952","0.0","0.0","0.0","0.0","0.0","M","M","M","M","M","M","M","M"
"1952-1953","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1953-1954","0.0","0.0","0.0","T","0.0","1.0","111.0","3.5","1.0","0.0","0.0","0.0","116.5"
"1954-1955","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","M","M","M","M","M"
"1955-1956","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1956-1957","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1957-1958","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1958-1959","M","M","M","M","M","M","M","15.5","0.0","0.0","0.0","0.0","M"
"1959-1960","0.0","0.0","0.0","0.0","0.0","T","19.5","0.0","M","T","0.0","0.0","M"
"1960-1961","0.0","0.0","0.0","0.0","0.5","1.0","0.0","5.5","1.3","T","0.0","0.0","8.3"
"1961-1962","0.0","0.0","0.0","0.0","0.0","6.0","2.5","4.5","M","0.0","0.0","0.0","M"
"1962-1963","0.0","0.0","0.0","0.0","0.0","T","M","0.0","M","0.0","0.0","0.0","M"
"1963-1964","0.0","0.0","0.0","0.0","0.0","0.0","M","2.0","2.5","0.0","0.0","0.0","M"
"1964-1965","0.0","0.0","0.0","0.0","5.8","31.0","25.0","0.0","2.7","0.0","0.0","0.0","64.5"
"1965-1966","0.0","0.0","0.0","0.0","0.0","31.0","10.3","0.5","8.5","0.0","0.0","0.0","50.3"
"1966-1967","0.0","0.0","0.0","0.0","0.0","0.5","3.1","3.0","7.5","1.0","0.0","0.0","15.1"
"1967-1968","0.0","0.0","0.0","0.0","1.5","M","24.0","0.0","0.0","0.0","0.0","0.0","M"
"1968-1969","0.0","0.0","0.0","0.0","0.0","7.7","83.0","13.5","0.0","0.0","0.0","0.0","104.2"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","2.3","0.0","T","0.0","0.0","0.0","2.3"
"1970-1971","0.0","0.0","0.0","0.0","1.9","M","M","19.5","M","M","0.0","0.0","M"
"1971-1972","0.0","0.0","0.0","0.0","0.0","M","M","M","M","M","0.0","0.0","M"
"1972-1973","0.0","0.0","0.0","0.0","M","M","M","M","0.0","0.5","0.0","0.0","M"
"1973-1974","0.0","0.0","0.0","0.0","M","M","M","3.0","3.0","0.0","0.0","0.0","M"
"1974-1975","0.0","0.0","0.0","0.0","0.0","4.0","11.5","7.0","T","T","0.0","0.0","22.5"
"1975-1976","0.0","0.0","0.0","0.0","9.5","12.0","M","M","1.0","1.0","0.0","0.0","M"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","M"
"1977-1978","0.0","0.0","0.0","0.0","10.5","M","7.5","0.0","0.5","0.0","0.0","0.0","M"
"1978-1979","0.0","0.0","0.0","0.0","1.8","4.0","13.0","23.0","0.0","0.0","0.0","0.0","41.8"
"1979-1980","0.0","0.0","0.0","0.0","T","0.0","M","4.0","4.0","0.0","0.0","0.0","M"
"1980-1981","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1981-1982","0.0","0.0","0.0","0.0","0.0","5.0","M","11.5","0.0","0.0","0.0","0.0","M"
"1982-1983","0.0","0.0","0.0","0.0","0.0","0.0","11.0","0.0","0.0","2.0","0.0","0.0","13.0"
"1983-1984","0.0","0.0","0.0","0.0","0.0","M","1.0","0.0","0.0","0.0","0.0","0.0","M"
"1984-1985","0.0","0.0","0.0","0.0","0.0","19.0","0.0","22.5","9.5","0.0","0.0","0.0","51.0"
"1985-1986","0.0","0.0","0.0","0.0","26.0","M","M","M","0.0","0.0","0.0","0.0","M"
"1986-1987","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","6.0"
"1987-1988","0.0","0.0","0.0","0.0","0.0","1.0","6.0","0.0","0.0","0.0","0.0","0.0","7.0"
"1988-1989","0.0","0.0","0.0","0.0","0.0","5.0","2.0","4.5","M","0.5","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","M","M","0.0","0.0","0.0","0.0","M"
"1990-1991","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","M","0.0","0.0","0.0","M"
"1991-1992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
