"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1943-1944","M","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","M","M"
"1944-1945","0.0","0.0","M","0.0","0.0","M","0.0","T","M","M","0.0","0.0","M"
"1945-1946","M","0.0","0.0","0.0","2.0","0.0","0.5","4.3","0.5","T","0.0","T","M"
"1946-1947","0.0","0.0","0.0","0.0","7.0","1.2","14.0","0.2","0.0","0.0","0.0","0.0","M"
"1947-1948","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.7","2.0","1.7","0.0","0.0","4.5"
"1948-1949","0.0","0.0","0.0","0.0","0.5","7.1","10.1","19.2","0.5","T","0.0","0.0","37.4"
"1949-1950","0.0","0.0","M","T","T","8.3","45.9","T","3.3","T","T","0.0","M"
"1950-1951","0.0","0.0","T","T","1.5","0.8","3.5","3.6","38.5","0.0","T","0.0","47.9"
"1951-1952","0.0","0.0","0.0","0.0","T","4.0","8.3","2.0","2.5","T","T","0.0","16.8"
"1952-1953","0.0","0.0","0.0","0.0","T","T","0.4","T","T","T","T","0.0","0.4"
"1953-1954","0.0","0.0","0.0","0.0","0.0","0.5","46.6","1.0","T","T","0.0","0.0","48.1"
"1954-1955","0.0","0.0","0.0","0.0","0.0","2.0","T","1.7","8.3","T","0.0","0.0","12.0"
"1955-1956","0.0","0.0","0.0","T","3.3","5.7","2.2","7.3","12.8","0.0","0.0","0.0","31.3"
"1956-1957","0.0","0.0","0.0","T","0.0","1.5","8.0","6.9","0.5","0.0","0.0","0.0","16.9"
"1957-1958","0.0","0.0","0.0","0.0","0.0","0.2","M","0.0","T","0.0","0.0","0.0","M"
"1958-1959","0.0","M","M","0.0","T","0.0","3.0","1.4","T","T","M","0.0","M"
"1959-1960","0.0","0.0","0.0","0.0","0.0","1.0","0.9","T","7.9","0.0","0.0","0.0","9.8"
"1960-1961","M","0.0","0.0","0.0","T","0.0","0.0","T","5.5","2.0","0.0","0.0","M"
"1961-1962","0.0","0.0","0.0","0.0","T","M","1.0","0.0","9.0","T","0.0","0.0","M"
"1962-1963","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0"
"1963-1964","0.0","0.0","0.0","0.0","0.0","0.0","T","T","0.8","T","0.0","0.0","0.8"
"1964-1965","0.0","0.0","0.0","0.0","5.0","36.0","12.0","0.0","0.0","0.0","T","0.0","53.0"
"1965-1966","0.0","0.0","0.0","0.0","0.0","9.5","12.0","2.0","7.0","T","0.0","0.0","30.5"
"1966-1967","0.0","0.0","0.0","T","0.0","1.0","0.0","1.0","2.0","T","0.0","0.0","4.0"
"1967-1968","0.0","0.0","0.0","0.0","T","M","7.5","0.0","T","T","0.0","0.0","M"
"1968-1969","0.0","0.0","0.0","0.0","T","4.0","29.5","5.8","0.0","0.0","0.0","0.0","39.3"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","T","T","0.0","0.0","T"
