"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1923-1924","M","M","M","M","M","T","1.0","0.0","1.0","0.0","M","0.0","M"
"1924-1925","M","M","M","M","M","3.0","0.0","0.0","0.0","0.0","M","M","M"
"1925-1926","M","M","M","M","M","0.0","0.0","M","M","M","M","M","M"
"1926-1927","M","M","M","M","M","2.0","2.0","M","T","1.5","M","M","M"
"1927-1928","M","M","M","M","M","1.0","M","M","M","M","M","M","M"
"1928-1929","M","M","M","M","M","M","13.0","M","M","M","M","M","M"
"1929-1930","M","M","M","M","M","M","15.0","0.5","M","M","M","M","M"
"1930-1931","0.0","M","M","M","M","M","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1931-1932","0.0","0.0","0.0","0.0","0.0","T","9.0","1.0","0.0","0.0","0.0","0.0","10.0"
"1932-1933","0.0","0.0","0.0","0.0","0.0","0.0","13.0","4.5","0.0","0.0","0.0","0.0","M"
"1933-1934","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"1934-1935","0.0","0.0","0.0","0.0","0.0","5.0","5.0","0.0","T","0.0","0.0","0.0","10.0"
"1935-1936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","T","0.0","0.0","0.0","4.0"
"1936-1937","0.0","0.0","0.0","0.0","0.0","0.0","16.1","1.3","0.0","0.0","0.0","0.0","17.4"
"1937-1938","0.0","0.0","0.0","0.0","0.0","3.0","0.8","0.6","6.0","0.0","0.0","0.0","10.4"
"1938-1939","0.0","0.0","0.0","0.0","0.0","0.0","T","4.5","0.0","0.0","0.0","0.0","4.5"
"1939-1940","0.0","0.0","0.0","0.0","0.0","0.0","2.5","0.0","0.0","0.0","0.0","0.0","2.5"
"1940-1941","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1941-1942","0.0","0.0","0.0","0.0","0.0","T","T","T","1.5","0.0","0.0","0.0","1.5"
"1942-1943","0.0","0.0","0.0","0.0","0.0","0.7","10.2","0.5","T","0.0","0.0","0.0","11.4"
"1943-1944","0.0","0.0","0.0","0.0","0.0","0.0","T","T","T","0.0","0.0","0.0","T"
"1944-1945","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","T","0.0","0.0","0.0","T"
"1945-1946","0.0","0.0","0.0","0.0","0.2","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.2"
"1946-1947","0.0","0.0","0.0","0.0","3.7","0.2","20.2","0.0","0.0","0.0","0.0","0.0","24.1"
"1947-1948","0.0","0.0","0.0","0.0","0.0","0.0","T","T","T","T","0.0","0.0","T"
"1948-1949","0.0","0.0","0.0","0.0","T","1.5","7.4","18.4","0.0","0.0","0.0","0.0","27.3"
"1949-1950","0.0","0.0","0.0","0.0","0.0","M","M","0.0","T","0.0","T","0.0","M"
"1950-1951","0.0","0.0","0.0","T","T","T","6.1","T","M","0.0","0.0","0.0","M"
"1951-1952","0.0","0.0","0.0","0.0","T","T","11.5","T","T","T","T","0.0","11.5"
"1952-1953","0.0","0.0","0.0","0.0","0.0","T","0.0","1.0","T","0.0","0.0","0.0","1.0"
"1953-1954","0.0","0.0","0.0","0.0","0.0","0.0","27.3","M","0.7","0.0","0.0","0.0","M"
"1954-1955","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","2.5","0.1","0.0","0.0","3.1"
"1955-1956","0.0","0.0","0.0","0.0","6.5","5.3","1.1","7.2","2.5","0.0","0.0","0.0","22.6"
"1956-1957","0.0","0.0","0.0","0.0","0.0","1.8","6.3","M","0.0","0.0","0.0","0.0","M"
"1957-1958","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1958-1959","0.0","0.0","0.0","0.0","0.0","0.0","4.8","0.5","0.0","0.0","0.0","0.0","5.3"
"1959-1960","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","5.0"
"1960-1961","0.0","0.0","0.0","0.0","3.1","0.0","0.0","0.0","0.3","0.0","0.0","0.0","3.4"
"1961-1962","0.0","0.0","0.0","0.0","0.0","T","0.0","4.5","6.5","0.0","0.0","0.0","11.0"
"1962-1963","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1963-1964","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.1"
"1964-1965","M","0.0","0.0","0.0","2.0","22.3","9.0","0.0","0.0","0.0","0.0","0.0","M"
"1965-1966","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.8","0.0","0.0","0.0","M"
"1966-1967","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","2.0"
"1967-1968","0.0","0.0","0.0","0.0","0.0","2.3","3.0","0.0","0.0","0.0","0.0","0.0","5.3"
"1968-1969","0.0","0.0","0.0","0.0","0.0","8.0","31.0","M","0.0","0.0","0.0","0.0","M"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1970-1971","0.0","0.0","0.0","0.0","0.0","M","9.8","3.5","2.0","0.0","0.0","0.0","M"
"1971-1972","0.0","0.0","0.0","0.0","0.0","4.5","6.5","0.5","0.0","0.0","0.0","0.0","11.5"
"1972-1973","0.0","0.0","0.0","0.0","0.0","M","1.5","0.0","0.0","0.0","0.0","0.0","M"
"1973-1974","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0"
"1974-1975","0.0","0.0","0.0","0.0","0.0","2.0","4.0","0.5","0.0","0.0","0.0","0.0","6.5"
"1975-1976","0.0","0.0","0.0","0.0","T","0.0","0.0","T","0.0","0.0","0.0","0.0","T"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1977-1978","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T"
"1978-1979","0.0","0.0","0.0","0.0","T","M","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1979-1980","0.0","0.0","0.0","0.0","0.0","0.0","6.7","4.0","M","0.0","0.0","0.0","M"
"1980-1981","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","T"
"1981-1982","0.0","0.0","0.0","0.0","0.0","T","5.5","0.0","0.0","0.0","0.0","0.0","5.5"
"1982-1983","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1983-1984","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","T"
"1984-1985","0.0","0.0","0.0","0.0","0.0","M","0.0","0.8","T","0.0","0.0","0.0","M"
