"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"2013","M","M","M","35","M","50","M","M","42","M","M","M","M"
"2014","M","M","30","M","M","M","53","M","48","M","20","M","M"
"2015","M","M","M","34","M","49","M","M","M","M","M","M","M"
"2016","20","31","M","M","45","44","M","M","44","37","34","M","M"
"2017","18","M","M","M","M","M","M","M","M","M","M","M","M"
"2018","M","M","30","36","M","44","51","M","45","39","30","25","M"
"2019","M","16","M","35","M","M","M","54","M","M","M","M","M"
"2020","M","M","M","M","M","48","M","M","48","M","M","M","M"
"2021","26","M","M","M","43","M","M","M","M","M","M","M","M"
"2022","M","24","M","M","40","M","M","M","M","M","M","M","M"
