"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1927-1928","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1928-1929","M","M","M","M","M","M","12.8","M","M","M","M","M","M"
"1929-1930","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1930-1931","M","M","M","M","M","M","M","M","0.8","M","M","M","M"
"1931-1932","M","M","M","M","M","M","5.0","M","1.0","M","M","M","M"
"1932-1933","M","M","M","M","M","0.5","4.9","0.7","0.0","M","M","0.0","M"
"1933-1934","M","M","0.0","M","0.0","M","0.0","0.0","M","M","M","0.0","M"
"1934-1935","M","0.0","M","0.0","0.0","T","14.8","0.0","0.2","0.0","0.0","0.0","M"
"1935-1936","0.0","M","0.0","0.0","0.0","0.0","T","M","2.2","T","0.0","0.0","M"
"1936-1937","M","0.0","0.0","0.0","0.0","T","M","2.2","0.0","0.0","0.0","0.0","M"
"1937-1938","M","M","M","M","2.7","M","M","T","T","M","M","M","M"
"1938-1939","M","M","M","M","M","M","M","1.4","M","M","M","M","M"
"1939-1940","M","M","M","M","0.0","0.0","2.0","0.0","M","M","M","M","M"
"1940-1941","M","M","M","M","M","M","M","M","M","M","M","M","M"
"1941-1942","M","M","M","M","M","M","1.0","M","M","M","M","M","M"
"1942-1943","M","M","M","M","M","T","15.9","0.0","0.0","0.0","0.0","0.0","M"
"1943-1944","0.0","0.0","0.0","0.0","0.0","0.0","T","T","T","0.0","0.0","0.0","T"
"1944-1945","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","T"
"1945-1946","0.0","0.0","0.0","0.0","0.5","0.0","0.0","1.8","0.0","0.0","0.0","0.0","2.3"
"1946-1947","0.0","0.0","0.0","0.0","M","0.0","2.0","5.0","M","M","0.0","M","M"
"1947-1948","0.0","0.0","0.0","0.0","0.0","T","M","1.0","0.0","0.0","0.0","0.0","M"
"1948-1949","0.0","0.0","0.0","0.0","0.0","3.0","8.5","20.0","0.0","0.0","0.0","0.0","31.5"
"1949-1950","0.0","0.0","0.0","T","0.0","T","35.5","3.0","0.0","0.0","0.0","0.0","38.5"
"1950-1951","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","M"
"1951-1952","0.0","0.0","0.0","0.0","0.0","M","M","M","M","T","0.0","0.0","M"
"1952-1953","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","T","0.0","0.0","0.0","T"
"1953-1954","0.0","0.0","0.0","0.0","0.0","0.0","16.2","0.0","T","T","T","0.0","16.2"
"1954-1955","0.0","T","0.0","0.0","0.0","0.2","T","0.8","1.4","T","T","0.0","2.4"
"1955-1956","0.0","0.0","0.0","0.0","8.3","14.5","0.8","M","3.4","0.0","0.0","0.0","M"
"1956-1957","0.0","0.0","0.0","0.0","T","2.0","8.3","2.8","T","0.0","0.0","0.0","13.1"
"1957-1958","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","T"
"1958-1959","0.0","0.0","0.0","0.0","T","0.0","T","M","0.0","0.0","0.0","0.0","M"
"1959-1960","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.0","M","0.0","0.0","0.0","M"
"1960-1961","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","M"
"1961-1962","0.0","0.0","0.0","0.0","T","3.8","T","T","0.5","0.0","0.0","0.0","M"
"1962-1963","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"1963-1964","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.0","T","0.0","0.0","0.0","0.3"
"1964-1965","0.0","0.0","0.0","0.0","0.0","M","11.3","0.0","T","T","0.0","0.0","M"
"1965-1966","0.0","0.0","0.0","0.0","0.0","M","M","T","T","0.0","0.0","0.0","M"
"1966-1967","0.0","0.0","0.0","0.0","0.0","0.0","5.4","0.0","T","0.0","0.0","0.0","5.4"
"1967-1968","0.0","0.0","0.0","0.0","0.0","9.1","7.0","0.0","0.0","0.0","0.0","0.0","16.1"
"1968-1969","M","M","0.0","M","0.0","10.0","32.5","3.5","0.0","0.0","0.0","0.0","M"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
"1970-1971","0.0","M","0.0","0.0","4.0","1.1","M","M","8.3","0.0","0.0","0.0","M"
"1971-1972","0.0","0.0","0.0","0.0","0.0","13.3","M","3.3","0.0","0.0","0.0","0.0","M"
"1972-1973","0.0","0.0","0.0","0.0","0.0","2.5","2.0","0.0","0.0","0.0","M","0.0","M"
"1973-1974","0.0","0.0","0.0","0.0","T","0.0","2.5","T","0.0","0.0","0.0","0.0","2.5"
"1974-1975","0.0","0.0","0.0","0.0","0.0","4.0","T","T","0.0","T","0.0","0.0","4.0"
"1975-1976","0.0","0.0","0.0","0.0","2.0","0.0","M","M","M","0.0","0.0","0.0","M"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1977-1978","0.0","0.0","0.0","0.0","2.5","0.5","0.0","M","0.0","0.0","0.0","0.0","M"
"1978-1979","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1979-1980","0.0","0.0","0.0","0.0","0.0","0.0","5.5","11.5","0.0","0.0","0.0","0.0","17.0"
"1980-1981","M","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","M"
"1981-1982","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
