"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"2005-2006","M","0.0","0.0","0.0","M","1.7","2.5","0.0","0.0","0.0","0.0","0.0","M"
"2006-2007","0.0","0.0","0.0","0.0","0.0","M","2.3","0.0","0.0","0.0","0.0","M","M"
"2007-2008","0.0","0.0","0.0","0.0","0.0","4.1","M","0.5","0.0","0.0","0.0","0.0","M"
"2008-2009","0.0","0.0","0.0","0.0","0.0","M","6.9","M","0.0","0.0","0.0","0.0","M"
"2009-2010","0.0","0.0","0.0","0.0","0.5","5.1","1.0","0.0","0.0","0.0","0.0","0.0","6.6"
"2010-2011","0.0","0.0","0.0","0.0","6.8","5.9","1.7","6.7","0.0","0.0","0.0","0.0","21.1"
"2011-2012","0.0","0.0","M","0.0","0.0","T","9.2","0.0","0.0","0.0","0.0","0.0","M"
"2012-2013","0.0","0.0","0.0","0.0","0.4","2.5","5.2","0.0","0.0","0.0","0.0","0.0","M"
"2013-2014","0.0","M","0.0","0.0","0.0","0.5","3.9","2.7","0.5","0.0","M","0.0","M"
"2014-2015","0.0","M","0.0","0.0","0.9","T","2.7","0.0","0.0","0.0","0.0","0.0","M"
"2015-2016","M","0.0","M","0.0","1.0","11.0","7.3","0.0","0.0","0.0","0.0","0.0","M"
"2016-2017","M","M","0.0","M","0.0","10.3","7.6","9.3","0.0","0.0","0.0","0.0","M"
"2017-2018","M","0.0","0.0","0.0","1.5","2.6","4.8","2.5","0.0","0.0","0.0","0.0","M"
"2018-2019","0.0","0.0","0.0","0.0","0.0","3.3","1.4","8.7","1.5","0.0","0.0","0.0","14.9"
"2019-2020","0.0","0.0","0.0","0.0","0.0","2.5","5.0","4.8","0.0","0.0","0.0","0.0","12.3"
"2020-2021","0.0","0.0","0.0","0.0","0.0","7.0","1.7","2.9","0.0","0.0","0.0","0.0","11.6"
"2021-2022","0.0","0.0","0.0","0.0","M","5.7","6.3","0.0","0.0","0.0","0.0","0.0","M"
