"Year","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Season"
"1959-1960","0.0","0.0","0.0","0.0","0.0","T","4.0","0.0","6.5","0.0","0.0","0.0","10.5"
"1960-1961","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1961-1962","0.0","0.0","0.0","0.0","0.0","1.0","0.5","T","15.0","0.0","0.0","0.0","16.5"
"1962-1963","0.0","0.0","0.0","0.0","T","0.0","5.0","0.5","0.0","0.0","0.0","0.0","5.5"
"1963-1964","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","0.0","0.0","0.0","1.5"
"1964-1965","0.0","0.0","0.0","0.0","M","8.1","9.0","T","1.0","0.0","0.0","0.0","M"
"1965-1966","0.0","0.0","0.0","0.0","0.0","4.3","7.0","1.0","3.5","T","0.0","0.0","15.8"
"1966-1967","0.0","0.0","0.0","0.0","0.0","0.5","1.5","0.0","0.0","0.0","0.0","0.0","2.0"
"1967-1968","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","3.0"
"1968-1969","0.0","0.0","0.0","0.0","0.0","5.0","10.0","4.3","0.0","0.0","0.0","0.0","19.3"
"1969-1970","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.5"
"1970-1971","0.0","0.0","0.0","0.0","0.0","0.8","13.6","8.6","0.5","0.0","0.0","0.0","23.5"
"1971-1972","0.0","0.0","0.0","0.0","0.0","11.5","2.0","T","T","0.0","0.0","0.0","13.5"
"1972-1973","0.0","0.0","0.0","0.0","0.0","6.0","1.0","0.0","0.0","0.0","0.0","0.0","7.0"
"1973-1974","0.0","0.0","0.0","0.0","1.0","0.0","1.5","0.0","3.1","0.0","0.0","0.0","5.6"
"1974-1975","0.0","0.0","0.0","0.0","0.0","T","3.5","0.5","0.0","0.0","0.0","0.0","4.0"
"1975-1976","0.0","0.0","0.0","0.0","4.0","1.5","0.0","M","0.0","T","0.0","0.0","M"
"1976-1977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","T"
"1977-1978","0.0","0.0","0.0","0.0","0.0","T","3.0","0.0","0.0","0.0","0.0","0.0","3.0"
"1978-1979","0.0","0.0","0.0","0.0","0.0","M","T","1.0","0.0","0.0","0.0","0.0","M"
"1979-1980","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","8.0"
"1980-1981","0.0","0.0","0.0","0.0","0.0","4.5","0.0","0.0","0.0","0.0","0.0","0.0","4.5"
"1981-1982","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","6.0"
"1982-1983","M","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","M"
"1983-1984","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"1984-1985","0.0","0.0","0.0","0.0","0.0","9.0","0.0","3.5","0.0","0.0","0.0","0.0","12.5"
"1985-1986","0.0","0.0","0.0","0.0","16.2","0.0","0.0","3.2","0.0","0.0","0.0","0.0","19.4"
"1986-1987","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1987-1988","0.0","0.0","0.0","0.0","0.0","0.5","0.0","1.0","0.0","0.0","0.0","0.0","1.5"
"1988-1989","0.0","0.0","0.0","0.0","0.0","0.0","2.5","1.0","10.8","0.0","0.0","0.0","M"
"1989-1990","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.5","0.0","0.0","0.0","0.0","9.5"
"1990-1991","0.0","0.0","0.0","0.0","0.0","11.2","3.0","0.5","0.0","0.0","0.0","0.0","14.7"
"1991-1992","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"1992-1993","0.0","0.0","0.0","0.0","0.0","11.0","3.0","2.0","0.0","0.0","0.0","0.0","16.0"
"1993-1994","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","T"
"1994-1995","0.0","0.0","0.0","0.0","T","T","0.0","T","T","0.0","0.0","0.0","T"
"1995-1996","M","M","M","0.0","0.0","0.0","2.1","0.0","0.0","0.0","0.0","0.0","M"
"1996-1997","0.0","0.0","0.0","0.0","3.5","18.5","0.0","0.0","0.3","0.0","0.0","0.0","22.3"
"1997-1998","0.0","0.0","0.0","0.0","0.0","0.0","M","0.0","0.0","0.0","0.0","0.0","M"
"1998-1999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","T"
"1999-2000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2000-2001","0.0","0.0","0.0","0.0","0.0","T","0.0","T","0.0","0.0","0.0","0.0","T"
