"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","175","147","120"
"8 years in 10","189","157","129"
"5 years in 10","215","175","146"
"2 years in 10","241","194","163"
"1 year in 10","255","203","171"
