"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","Insufficient data","Insufficient data","153"
"8 years in 10","Insufficient data","Insufficient data","160"
"5 years in 10","Insufficient data","Insufficient data","174"
"2 years in 10","Insufficient data","Insufficient data","188"
"1 year in 10","Insufficient data","Insufficient data","195"
