"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","Insufficient data","192","149"
"8 years in 10","Insufficient data","204","158"
"5 years in 10","Insufficient data","226","176"
"2 years in 10","Insufficient data","249","195"
"1 year in 10","Insufficient data","261","204"
