"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","248","224","182"
"8 years in 10","264","237","193"
"5 years in 10","295","260","214"
"2 years in 10","330","284","235"
"1 year in 10","359","296","246"
