"Probability","# days > 24F","# days > 28F","# days > 32F"
"9 years in 10","155","125","87"
"8 years in 10","166","134","97"
"5 years in 10","185","152","116"
"2 years in 10","205","170","135"
"1 year in 10","215","180","145"
